"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.psi","r","case","sp"
"sigma.p.sp",2.315,1.946,2.776,1.03,NA,"-1","0","10","allall","ms"
"p.yr",-0.932,-1.038,-0.791,1.025,-1,"-1","0","10","allall","ms"
"sigma.p.site",2.553,2.492,2.62,1.012,1.5,"-1","0","10","allall","ms"
"per_chage_bci",-7.12344304632765,-11.4810044379828,-3.42006486571374,NA,0,"-1","0","10","allall","ms"
"mu.psi",-0.952,-1.081,-0.678,1.892,0,"0.5","0","10","allall","ms"
"sigma.psi.sp",0.979,0.82,1.193,1.057,0.5,"0.5","0","10","allall","ms"
"mu.psi.yr",0.054,0.001,0.11,0.998,0,"0.5","0","10","allall","ms"
"sigma.psi.yr",0.169,0.124,0.221,1.001,0.2,"0.5","0","10","allall","ms"
"mu.p",-1.463,-1.656,-1.213,3.089,-0.5,"0.5","0","10","allall","ms"
"sigma.p.sp",2.439,2.08,2.915,1.011,NA,"0.5","0","10","allall","ms"
"p.yr",0.448,0.303,0.622,1.308,0.5,"0.5","0","10","allall","ms"
"sigma.p.site",2.609,2.545,2.672,0.997,1.5,"0.5","0","10","allall","ms"
"per_chage_bci",3.9562242138472,0.0535222613496769,8.13282684245545,NA,0,"0.5","0","10","allall","ms"
"mu.psi",-1.023,-1.248,-0.841,2.256,0,"-0.5","0","2","allall","ms"
"sigma.psi.sp",0.934,0.775,1.129,1.026,0.5,"-0.5","0","2","allall","ms"
"mu.psi.yr",-0.081,-0.128,-0.03,1.006,0,"-0.5","0","2","allall","ms"
"sigma.psi.yr",0.122,0.069,0.175,1.015,0.2,"-0.5","0","2","allall","ms"
"mu.p",-1.345,-1.606,-0.961,2.245,-0.5,"-0.5","0","2","allall","ms"
"sigma.p.sp",2.314,1.935,2.824,1.03,NA,"-0.5","0","2","allall","ms"
"p.yr",-0.462,-0.571,-0.361,1.083,-0.5,"-0.5","0","2","allall","ms"
"sigma.p.site",2.432,2.359,2.495,1,1.5,"-0.5","0","2","allall","ms"
"per_chage_bci",-5.81214178261472,-9.08320834343259,-2.21745325381757,NA,0,"-0.5","0","2","allall","ms"
"mu.psi",-1.052,-1.202,-0.782,1.889,0,"-1","0","2","allall","ms"
"sigma.psi.sp",0.889,0.743,1.087,1.113,0.5,"-1","0","2","allall","ms"
"mu.psi.yr",-0.076,-0.146,0.001,1.012,0,"-1","0","2","allall","ms"
"sigma.psi.yr",0.262,0.199,0.328,1.053,0.2,"-1","0","2","allall","ms"
"mu.p",-1.088,-1.447,-0.646,2.938,-0.5,"-1","0","2","allall","ms"
"sigma.p.sp",2.26,1.917,2.686,1.07,NA,"-1","0","2","allall","ms"
"p.yr",-0.931,-1.087,-0.783,1.16,-1,"-1","0","2","allall","ms"
"sigma.p.site",2.327,2.268,2.387,1.012,1.5,"-1","0","2","allall","ms"
"per_chage_bci",-5.46169722599897,-10.1670393584073,0.0693909223888666,NA,0,"-1","0","2","allall","ms"
"mu.psi",-1.049,-1.207,-0.878,1.873,0,"0","0","2","allall","ms"
"sigma.psi.sp",0.952,0.809,1.103,1.018,0.5,"0","0","2","allall","ms"
"mu.psi.yr",-0.05,-0.093,-0.002,1.004,0,"0","0","2","allall","ms"
"sigma.psi.yr",0.13,0.084,0.181,1.007,0.2,"0","0","2","allall","ms"
"mu.p",-1.482,-1.961,-1.162,1.922,-0.5,"0","0","2","allall","ms"
"sigma.p.sp",2.508,2.157,2.935,1.034,NA,"0","0","2","allall","ms"
"p.yr",0.084,-0.072,0.21,1.311,0,"0","0","2","allall","ms"
"sigma.p.site",2.592,2.52,2.662,0.999,1.5,"0","0","2","allall","ms"
"per_chage_bci",-3.61142689503075,-6.86148403089252,-0.11674558035029,NA,0,"0","0","2","allall","ms"
"mu.psi",-1.061,-1.223,-0.858,1.261,0,"0.5","0","2","allall","ms"
"sigma.psi.sp",0.812,0.679,0.962,1.002,0.5,"0.5","0","2","allall","ms"
"mu.psi.yr",-0.002,-0.048,0.037,1.022,0,"0.5","0","2","allall","ms"
"sigma.psi.yr",0.119,0.079,0.168,1.08,0.2,"0.5","0","2","allall","ms"
"mu.p",-1.189,-1.575,-0.924,2.245,-0.5,"0.5","0","2","allall","ms"
"sigma.p.sp",2.488,2.073,3.06,1.007,NA,"0.5","0","2","allall","ms"
"p.yr",0.354,0.132,0.608,1.165,0.5,"0.5","0","2","allall","ms"
"sigma.p.site",2.6,2.534,2.675,1.008,1.5,"0.5","0","2","allall","ms"
"per_chage_bci",-0.153887575270561,-3.5249498706958,2.82269964089599,NA,0,"0.5","0","2","allall","ms"
"mu.psi",-1.144,-1.358,-0.932,5.526,0,"-0.5","0","3","allall","ms"
"sigma.psi.sp",0.88,0.735,1.056,1.066,0.5,"-0.5","0","3","allall","ms"
"mu.psi.yr",-0.034,-0.099,0.022,0.999,0,"-0.5","0","3","allall","ms"
"sigma.psi.yr",0.179,0.132,0.233,1.013,0.2,"-0.5","0","3","allall","ms"
"mu.p",-1.459,-1.662,-1.28,1.864,-0.5,"-0.5","0","3","allall","ms"
"sigma.p.sp",2.217,1.896,2.703,1.003,NA,"-0.5","0","3","allall","ms"
"p.yr",-0.563,-0.769,-0.434,1.463,-0.5,"-0.5","0","3","allall","ms"
"sigma.p.site",2.47,2.398,2.537,0.998,1.5,"-0.5","0","3","allall","ms"
"per_chage_bci",-2.56997581229542,-6.99840375250805,1.60737273853676,NA,0,"-0.5","0","3","allall","ms"
"mu.psi",-1.152,-1.321,-0.878,3.501,0,"-1","0","3","allall","ms"
"sigma.psi.sp",0.898,0.752,1.064,1.002,0.5,"-1","0","3","allall","ms"
"mu.psi.yr",-0.062,-0.132,0.004,0.998,0,"-1","0","3","allall","ms"
"sigma.psi.yr",0.21,0.157,0.265,0.997,0.2,"-1","0","3","allall","ms"
"mu.p",-1.519,-1.841,-1.062,4.82,-0.5,"-1","0","3","allall","ms"
"sigma.p.sp",2.224,1.899,2.637,1.012,NA,"-1","0","3","allall","ms"
"p.yr",-1.042,-1.211,-0.831,1.132,-1,"-1","0","3","allall","ms"
"sigma.p.site",2.388,2.331,2.457,1.006,1.5,"-1","0","3","allall","ms"
"per_chage_bci",-4.58209167411928,-9.76520119219033,0.279278891974224,NA,0,"-1","0","3","allall","ms"
"mu.psi",-1.057,-1.296,-0.861,5.975,0,"0","0","3","allall","ms"
"sigma.psi.sp",0.885,0.748,1.048,1.079,0.5,"0","0","3","allall","ms"
"mu.psi.yr",0.007,-0.045,0.055,1.005,0,"0","0","3","allall","ms"
"sigma.psi.yr",0.138,0.096,0.189,1.019,0.2,"0","0","3","allall","ms"
"mu.p",-1.32,-1.829,-0.701,7.246,-0.5,"0","0","3","allall","ms"
"sigma.p.sp",2.418,2.029,2.967,1.277,NA,"0","0","3","allall","ms"
"p.yr",0.07,-0.056,0.208,1.131,0,"0","0","3","allall","ms"
"sigma.p.site",2.465,2.4,2.532,1.017,1.5,"0","0","3","allall","ms"
"per_chage_bci",0.499978764646109,-3.23539093434034,4.06109957961869,NA,0,"0","0","3","allall","ms"
"mu.psi",-0.914,-1.111,-0.57,2.049,0,"0.5","0","3","allall","ms"
"sigma.psi.sp",0.995,0.824,1.238,1.134,0.5,"0.5","0","3","allall","ms"
"mu.psi.yr",-0.021,-0.065,0.022,1.008,0,"0.5","0","3","allall","ms"
"sigma.psi.yr",0.142,0.1,0.193,1.008,0.2,"0.5","0","3","allall","ms"
"mu.p",-0.959,-1.364,-0.698,1.516,-0.5,"0.5","0","3","allall","ms"
