"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.psi","r","case","sp"
"mu.p",-1.39,-1.683,-1.112,1.668,-0.5,"-1","0","7","allall","ms"
"sigma.p.sp",2.344,2.001,2.774,1.017,NA,"-1","0","7","allall","ms"
"p.yr",-0.938,-1.133,-0.77,1.373,-1,"-1","0","7","allall","ms"
"sigma.p.site",2.549,2.482,2.624,0.997,1.5,"-1","0","7","allall","ms"
"per_chage_bci",-1.26610005752183,-5.94407933154112,4.39911216668123,NA,0,"-1","0","7","allall","ms"
"mu.psi",-1.116,-1.209,-1.015,1.568,0,"0","0","7","allall","ms"
"sigma.psi.sp",0.825,0.704,0.997,1.011,0.5,"0","0","7","allall","ms"
"mu.psi.yr",-0.021,-0.072,0.034,1.023,0,"0","0","7","allall","ms"
"sigma.psi.yr",0.161,0.112,0.213,1.013,0.2,"0","0","7","allall","ms"
"mu.p",-1.265,-1.833,-0.862,4.66,-0.5,"0","0","7","allall","ms"
"sigma.p.sp",2.437,2.05,2.947,1.025,NA,"0","0","7","allall","ms"
"p.yr",0.023,-0.141,0.287,1.252,0,"0","0","7","allall","ms"
"sigma.p.site",2.513,2.446,2.593,1.011,1.5,"0","0","7","allall","ms"
"per_chage_bci",-1.5815935129662,-5.33595657652901,2.57937384301498,NA,0,"0","0","7","allall","ms"
"mu.psi",-0.977,-1.19,-0.755,5.718,0,"0.5","0","7","allall","ms"
"sigma.psi.sp",0.857,0.713,1.018,1.015,0.5,"0.5","0","7","allall","ms"
"mu.psi.yr",-0.045,-0.094,0.005,1.01,0,"0.5","0","7","allall","ms"
"sigma.psi.yr",0.139,0.09,0.189,1.005,0.2,"0.5","0","7","allall","ms"
"mu.p",-1.375,-1.729,-1.043,3.184,-0.5,"0.5","0","7","allall","ms"
"sigma.p.sp",2.596,2.208,3.132,1.015,NA,"0.5","0","7","allall","ms"
"p.yr",0.351,0.199,0.495,1.061,0.5,"0.5","0","7","allall","ms"
"sigma.p.site",2.688,2.62,2.771,1.021,1.5,"0.5","0","7","allall","ms"
"per_chage_bci",-3.25095297904847,-6.7915474325486,0.360946364214279,NA,0,"0.5","0","7","allall","ms"
"mu.psi",-1.103,-1.306,-0.948,2.051,0,"1","0","7","allall","ms"
"sigma.psi.sp",0.832,0.71,1.008,1.037,0.5,"1","0","7","allall","ms"
"mu.psi.yr",-0.016,-0.074,0.035,1.005,0,"1","0","7","allall","ms"
"sigma.psi.yr",0.182,0.141,0.233,1.022,0.2,"1","0","7","allall","ms"
"mu.p",-1.261,-1.458,-1.102,2.171,-0.5,"1","0","7","allall","ms"
"sigma.p.sp",2.503,2.118,3.065,1.003,NA,"1","0","7","allall","ms"
"p.yr",0.999,0.856,1.123,1.047,1,"1","0","7","allall","ms"
"sigma.p.site",2.62,2.554,2.683,1.002,1.5,"1","0","7","allall","ms"
"per_chage_bci",-1.19175808658928,-5.39147118474192,2.62312713959059,NA,0,"1","0","7","allall","ms"
"mu.psi",-1.03,-1.246,-0.748,1.299,0,"0","0","8","allall","ms"
"sigma.psi.sp",0.874,0.736,1.052,1.032,0.5,"0","0","8","allall","ms"
"mu.psi.yr",-0.021,-0.074,0.035,1.069,0,"0","0","8","allall","ms"
"sigma.psi.yr",0.128,0.087,0.181,1.017,0.2,"0","0","8","allall","ms"
"mu.p",-1.414,-1.851,-0.975,2.918,-0.5,"0","0","8","allall","ms"
"sigma.p.sp",2.332,1.976,2.768,1.035,NA,"0","0","8","allall","ms"
"p.yr",0.056,-0.082,0.189,1.025,0,"0","0","8","allall","ms"
"sigma.p.site",2.43,2.371,2.497,1.001,1.5,"0","0","8","allall","ms"
"per_chage_bci",-1.47520540685745,-5.26996549742815,2.68790284047219,NA,0,"0","0","8","allall","ms"
"mu.psi",-1.087,-1.288,-0.91,2.252,0,"0.5","0","8","allall","ms"
"sigma.psi.sp",0.909,0.757,1.068,1.012,0.5,"0.5","0","8","allall","ms"
"mu.psi.yr",0.013,-0.034,0.06,1.002,0,"0.5","0","8","allall","ms"
"sigma.psi.yr",0.125,0.082,0.166,1.007,0.2,"0.5","0","8","allall","ms"
"mu.p",-1.189,-1.492,-0.832,3.901,-0.5,"0.5","0","8","allall","ms"
"sigma.p.sp",2.49,2.087,2.964,1.121,NA,"0.5","0","8","allall","ms"
"p.yr",0.45,0.289,0.695,1.491,0.5,"0.5","0","8","allall","ms"
"sigma.p.site",2.501,2.437,2.566,1.032,1.5,"0.5","0","8","allall","ms"
"per_chage_bci",0.991414414470848,-2.46891575087874,4.49938715595876,NA,0,"0.5","0","8","allall","ms"
"mu.psi",-1,-1.2,-0.825,4.282,0,"1","0","8","allall","ms"
"sigma.psi.sp",0.889,0.731,1.06,1.145,0.5,"1","0","8","allall","ms"
"mu.psi.yr",-0.003,-0.05,0.052,1.01,0,"1","0","8","allall","ms"
"sigma.psi.yr",0.195,0.146,0.264,1.032,0.2,"1","0","8","allall","ms"
"mu.p",-0.966,-1.315,-0.445,6.138,-0.5,"1","0","8","allall","ms"
"sigma.p.sp",2.753,2.344,3.335,1.169,NA,"1","0","8","allall","ms"
"p.yr",0.897,0.714,1.14,1.242,1,"1","0","8","allall","ms"
"sigma.p.site",2.78,2.714,2.854,1.033,1.5,"1","0","8","allall","ms"
"per_chage_bci",-0.217739019942615,-3.6916243524784,3.68600519740318,NA,0,"1","0","8","allall","ms"
"mu.psi",-0.832,-1.001,-0.633,2.679,0,"-0.5","0","9","allall","ms"
"sigma.psi.sp",0.973,0.818,1.167,1.072,0.5,"-0.5","0","9","allall","ms"
"mu.psi.yr",-0.037,-0.087,0.015,1.026,0,"-0.5","0","9","allall","ms"
"sigma.psi.yr",0.13,0.082,0.192,1.049,0.2,"-0.5","0","9","allall","ms"
"mu.p",-1.452,-2.048,-1.074,8.395,-0.5,"-0.5","0","9","allall","ms"
"sigma.p.sp",2.372,1.978,2.832,1.011,NA,"-0.5","0","9","allall","ms"
"p.yr",-0.469,-0.623,-0.333,1.089,-0.5,"-0.5","0","9","allall","ms"
"sigma.p.site",2.453,2.393,2.516,1.013,1.5,"-0.5","0","9","allall","ms"
"per_chage_bci",-2.53920452706194,-5.79452885748872,1.11537859599513,NA,0,"-0.5","0","9","allall","ms"
"mu.psi",-1.015,-1.169,-0.8,3.453,0,"-1","0","9","allall","ms"
"sigma.psi.sp",0.896,0.76,1.082,1.051,0.5,"-1","0","9","allall","ms"
"mu.psi.yr",-0.048,-0.11,0.01,1.076,0,"-1","0","9","allall","ms"
"sigma.psi.yr",0.159,0.103,0.225,1.04,0.2,"-1","0","9","allall","ms"
"mu.p",-1.257,-1.476,-0.826,5.012,-0.5,"-1","0","9","allall","ms"
"sigma.p.sp",2.249,1.854,2.714,1.056,NA,"-1","0","9","allall","ms"
"p.yr",-1,-1.134,-0.858,1.036,-1,"-1","0","9","allall","ms"
"sigma.p.site",2.374,2.3,2.447,1.011,1.5,"-1","0","9","allall","ms"
"per_chage_bci",-3.46275508477045,-7.95128368720083,0.757922085297789,NA,0,"-1","0","9","allall","ms"
"mu.psi",-1.165,-1.386,-0.847,5.191,0,"0.5","0","9","allall","ms"
"sigma.psi.sp",0.883,0.738,1.05,1.09,0.5,"0.5","0","9","allall","ms"
"mu.psi.yr",0.041,-0.008,0.085,1.001,0,"0.5","0","9","allall","ms"
"sigma.psi.yr",0.12,0.077,0.167,1.002,0.2,"0.5","0","9","allall","ms"
"mu.p",-1.57,-1.796,-1.335,2.266,-0.5,"0.5","0","9","allall","ms"
"sigma.p.sp",2.416,2.018,2.969,1.001,NA,"0.5","0","9","allall","ms"
"p.yr",0.362,0.235,0.488,1.351,0.5,"0.5","0","9","allall","ms"
"sigma.p.site",2.551,2.482,2.62,0.997,1.5,"0.5","0","9","allall","ms"
"per_chage_bci",3.1745637441123,-0.60841962886533,6.67802233927364,NA,0,"0.5","0","9","allall","ms"
