"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.psi","r","case","sp"
"sigma.p.sp",2.201,1.885,2.636,1.034,NA,"1","0","10","allall","ms"
"p.yr",-0.348,-0.486,-0.222,1.523,-0.5,"1","0","10","allall","ms"
"sigma.p.site",2.422,2.361,2.483,1.011,1.5,"1","0","10","allall","ms"
"per_chage_bci",44.1162236233587,37.4732515408283,51.5027876883673,NA,46.211715726001,"1","0","10","allall","ms"
"mu.psi",-0.965,-1.143,-0.797,1.589,0,"-0.5","0","2","allall","ms"
"sigma.psi.sp",0.922,0.77,1.103,1.084,0.5,"-0.5","0","2","allall","ms"
"mu.psi.yr",-0.446,-0.505,-0.391,1.011,-0.5,"-0.5","0","2","allall","ms"
"sigma.psi.yr",0.154,0.1,0.208,1.017,0.2,"-0.5","0","2","allall","ms"
"mu.p",-1.526,-1.888,-1.145,2.652,-0.5,"-0.5","0","2","allall","ms"
"sigma.p.sp",2.297,1.924,2.684,1,NA,"-0.5","0","2","allall","ms"
"p.yr",-0.536,-0.725,-0.388,1.339,-0.5,"-0.5","0","2","allall","ms"
"sigma.p.site",2.466,2.396,2.543,1.005,1.5,"-0.5","0","2","allall","ms"
"per_chage_bci",-28.9108666984007,-32.2891523979498,-25.6710329755749,NA,-24.4918662403709,"-0.5","0","2","allall","ms"
"mu.psi",-1.156,-1.293,-0.872,1.287,0,"-1","0","2","allall","ms"
"sigma.psi.sp",0.864,0.733,1.051,1.013,0.5,"-1","0","2","allall","ms"
"mu.psi.yr",-0.826,-0.89,-0.76,1.015,-1,"-1","0","2","allall","ms"
"sigma.psi.yr",0.198,0.14,0.26,1.015,0.2,"-1","0","2","allall","ms"
"mu.p",-1.685,-2.077,-1.354,2.593,-0.5,"-1","0","2","allall","ms"
"sigma.p.sp",2.256,1.935,2.66,0.997,NA,"-1","0","2","allall","ms"
"p.yr",-0.577,-0.775,-0.403,1.054,-0.5,"-1","0","2","allall","ms"
"sigma.p.site",2.426,2.354,2.502,0.999,1.5,"-1","0","2","allall","ms"
"per_chage_bci",-49.3496079749004,-52.2598591685855,-45.8974517460793,NA,-46.211715726001,"-1","0","2","allall","ms"
"mu.psi",-1.054,-1.269,-0.785,3.378,0,"0","0","2","allall","ms"
"sigma.psi.sp",0.945,0.791,1.156,1.069,0.5,"0","0","2","allall","ms"
"mu.psi.yr",-0.072,-0.115,-0.029,1.004,0,"0","0","2","allall","ms"
"sigma.psi.yr",0.126,0.08,0.171,1.007,0.2,"0","0","2","allall","ms"
"mu.p",-1.472,-1.73,-1.223,2.712,-0.5,"0","0","2","allall","ms"
"sigma.p.sp",2.435,2.075,2.864,1.005,NA,"0","0","2","allall","ms"
"p.yr",-0.404,-0.56,-0.205,1.09,-0.5,"0","0","2","allall","ms"
"sigma.p.site",2.534,2.46,2.6,1.015,1.5,"0","0","2","allall","ms"
"per_chage_bci",-5.22579625120086,-8.42068821277894,-2.2140932640085,NA,0,"0","0","2","allall","ms"
"mu.psi",-1.103,-1.256,-0.966,2.553,0,"0.5","0","2","allall","ms"
"sigma.psi.sp",0.808,0.687,0.983,1.032,0.5,"0.5","0","2","allall","ms"
"mu.psi.yr",0.284,0.222,0.352,1.036,0.5,"0.5","0","2","allall","ms"
"sigma.psi.yr",0.224,0.165,0.286,0.999,0.2,"0.5","0","2","allall","ms"
"mu.p",-1.166,-1.427,-0.824,1.828,-0.5,"0.5","0","2","allall","ms"
"sigma.p.sp",2.34,1.989,2.808,1.067,NA,"0.5","0","2","allall","ms"
"p.yr",-0.528,-0.672,-0.378,1.126,-0.5,"0.5","0","2","allall","ms"
"sigma.p.site",2.473,2.403,2.543,1.013,1.5,"0.5","0","2","allall","ms"
"per_chage_bci",22.8090502581465,17.6794394846618,28.4763548591589,NA,24.4918662403709,"0.5","0","2","allall","ms"
"mu.psi",-1.095,-1.24,-0.936,1.592,0,"1","0","2","allall","ms"
"sigma.psi.sp",0.922,0.756,1.116,1.003,0.5,"1","0","2","allall","ms"
"mu.psi.yr",0.538,0.466,0.612,1.035,1,"1","0","2","allall","ms"
"sigma.psi.yr",0.258,0.198,0.323,1.041,0.2,"1","0","2","allall","ms"
