"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.psi","r","case","sp"
"p.yr",-0.495,-0.674,-0.33,1.277,-0.5,"-0.5","0","7","allall","ms"
"sigma.p.site",2.407,2.34,2.473,1.026,1.5,"-0.5","0","7","allall","ms"
"per_chage_bci",-24.0390554169458,-27.2387309772319,-20.6240142524935,NA,-24.4918662403709,"-0.5","0","7","allall","ms"
"mu.psi",-1.116,-1.302,-0.864,1.69,0,"-1","0","7","allall","ms"
"sigma.psi.sp",0.875,0.758,1.043,1.019,0.5,"-1","0","7","allall","ms"
"mu.psi.yr",-0.727,-0.788,-0.654,1.019,-1,"-1","0","7","allall","ms"
"sigma.psi.yr",0.183,0.12,0.239,1.04,0.2,"-1","0","7","allall","ms"
"mu.p",-1.455,-1.969,-0.908,4.376,-0.5,"-1","0","7","allall","ms"
"sigma.p.sp",2.442,2.064,2.999,1.015,NA,"-1","0","7","allall","ms"
"p.yr",-0.608,-0.817,-0.391,1.344,-0.5,"-1","0","7","allall","ms"
"sigma.p.site",2.643,2.565,2.717,1.005,1.5,"-1","0","7","allall","ms"
"per_chage_bci",-44.5443768337251,-47.5960502672012,-40.9870688366827,NA,-46.211715726001,"-1","0","7","allall","ms"
"mu.psi",-1.054,-1.221,-0.859,2.908,0,"0","0","7","allall","ms"
"sigma.psi.sp",0.834,0.701,1.004,1.003,0.5,"0","0","7","allall","ms"
"mu.psi.yr",-0.041,-0.101,0.018,1.003,0,"0","0","7","allall","ms"
"sigma.psi.yr",0.19,0.142,0.24,1.009,0.2,"0","0","7","allall","ms"
"mu.p",-1.296,-1.536,-0.967,2.494,-0.5,"0","0","7","allall","ms"
"sigma.p.sp",2.343,2.011,2.789,1.029,NA,"0","0","7","allall","ms"
"p.yr",-0.436,-0.603,-0.308,1.343,-0.5,"0","0","7","allall","ms"
"sigma.p.site",2.438,2.378,2.502,1.003,1.5,"0","0","7","allall","ms"
"per_chage_bci",-3.01655363640762,-7.17990313588763,1.40931110221196,NA,0,"0","0","7","allall","ms"
"mu.psi",-1.067,-1.236,-0.906,1.829,0,"0.5","0","7","allall","ms"
"sigma.psi.sp",0.883,0.741,1.039,1.006,0.5,"0.5","0","7","allall","ms"
"mu.psi.yr",0.213,0.163,0.268,1.008,0.5,"0.5","0","7","allall","ms"
"sigma.psi.yr",0.145,0.089,0.213,1.068,0.2,"0.5","0","7","allall","ms"
"mu.p",-1.418,-1.698,-1.192,3.792,-0.5,"0.5","0","7","allall","ms"
"sigma.p.sp",2.405,2.035,2.83,1.001,NA,"0.5","0","7","allall","ms"
"p.yr",-0.561,-0.731,-0.435,1.112,-0.5,"0.5","0","7","allall","ms"
"sigma.p.site",2.57,2.498,2.641,1,1.5,"0.5","0","7","allall","ms"
"per_chage_bci",16.6636893118418,12.4349888199677,21.1850471549328,NA,24.4918662403709,"0.5","0","7","allall","ms"
"mu.psi",-1.17,-1.363,-0.991,2.104,0,"1","0","7","allall","ms"
"sigma.psi.sp",0.859,0.727,1.049,0.997,0.5,"1","0","7","allall","ms"
"mu.psi.yr",0.566,0.488,0.649,1.004,1,"1","0","7","allall","ms"
"sigma.psi.yr",0.292,0.235,0.368,1.016,0.2,"1","0","7","allall","ms"
"mu.p",-1.24,-1.911,-0.482,5.993,-0.5,"1","0","7","allall","ms"
"sigma.p.sp",2.301,1.901,2.851,1.295,NA,"1","0","7","allall","ms"
"p.yr",-0.419,-0.554,-0.269,1.096,-0.5,"1","0","7","allall","ms"
"sigma.p.site",2.422,2.363,2.477,1.001,1.5,"1","0","7","allall","ms"
"per_chage_bci",49.2502097532883,41.1442101651454,58.4461028400928,NA,46.211715726001,"1","0","7","allall","ms"
"mu.psi",-1.175,-1.313,-1.007,2.503,0,"1","0","8","allall","ms"
"sigma.psi.sp",0.869,0.735,1.035,1,0.5,"1","0","8","allall","ms"
"mu.psi.yr",0.588,0.511,0.669,1.018,1,"1","0","8","allall","ms"
"sigma.psi.yr",0.274,0.209,0.344,1.013,0.2,"1","0","8","allall","ms"
"mu.p",-1.554,-1.847,-1.253,2.323,-0.5,"1","0","8","allall","ms"
"sigma.p.sp",2.35,1.972,2.781,1.004,NA,"1","0","8","allall","ms"
"p.yr",-0.449,-0.581,-0.289,1.074,-0.5,"1","0","8","allall","ms"
"sigma.p.site",2.522,2.452,2.59,0.998,1.5,"1","0","8","allall","ms"
"per_chage_bci",51.4203156672086,43.6322657718939,61.4438235251608,NA,46.211715726001,"1","0","8","allall","ms"
"mu.psi",-1.093,-1.278,-0.834,2.671,0,"-1","0","9","allall","ms"
"sigma.psi.sp",0.881,0.745,1.053,1.044,0.5,"-1","0","9","allall","ms"
"mu.psi.yr",-0.715,-0.764,-0.663,1.037,-1,"-1","0","9","allall","ms"
"sigma.psi.yr",0.131,0.076,0.194,1.001,0.2,"-1","0","9","allall","ms"
"mu.p",-1.372,-1.81,-0.874,5.577,-0.5,"-1","0","9","allall","ms"
"sigma.p.sp",2.289,1.914,2.73,1.068,NA,"-1","0","9","allall","ms"
"p.yr",-0.64,-0.807,-0.496,1.028,-0.5,"-1","0","9","allall","ms"
"sigma.p.site",2.452,2.386,2.52,1.018,1.5,"-1","0","9","allall","ms"
"per_chage_bci",-43.8171356679773,-46.5572383797851,-40.9096659870318,NA,-46.211715726001,"-1","0","9","allall","ms"
"mu.psi",-1.147,-1.345,-0.942,2.94,0,"0.5","0","9","allall","ms"
"sigma.psi.sp",0.87,0.732,1.029,1.011,0.5,"0.5","0","9","allall","ms"
"mu.psi.yr",0.343,0.279,0.408,1.012,0.5,"0.5","0","9","allall","ms"
"sigma.psi.yr",0.199,0.139,0.261,1.011,0.2,"0.5","0","9","allall","ms"
"mu.p",-1.492,-1.754,-1.239,1.266,-0.5,"0.5","0","9","allall","ms"
"sigma.p.sp",2.213,1.886,2.603,1,NA,"0.5","0","9","allall","ms"
"p.yr",-0.554,-0.721,-0.388,1.619,-0.5,"0.5","0","9","allall","ms"
"sigma.p.site",2.387,2.326,2.462,0.999,1.5,"0.5","0","9","allall","ms"
"per_chage_bci",28.2873828237572,22.3486731660319,34.8694136320286,NA,24.4918662403709,"0.5","0","9","allall","ms"
