"sp","mean_baseline","mean_current","per_change","p.yr","mu.psi","r","case","actual.change"
"49",0.700635220125786,0.431176100628931,-38.4592597912047,"-1","0","1","all",-12.5522078840839
"5",0.677889634601044,0.549642058165548,-18.9186513393103,"-1","0","1","all",-2.76839810324855
"50",0.619479166666667,0.556400462962963,-10.1825383479999,"-1","0","1","all",7.52136878119363
"51",0.661190476190476,0.502083333333333,-24.0637378465971,"-1","0","1","all",1.97645396696285
"52",0.691802232854864,0.441977671451356,-36.1121357432682,"-1","0","1","all",-16.4167878903634
"53",0.663558558558559,0.556216216216216,-16.176770076709,"-1","0","1","all",4.74166617069277
"54",0.667190476190476,0.431547619047619,-35.3186781814289,"-1","0","1","all",-2.01526286950013
"55",0.682689655172414,0.559402298850575,-18.0590632050375,"-1","0","1","all",9.0899843586488
"56",0.767942708333333,0.580772569444444,-24.3729300191032,"-1","0","1","all",-4.29251144531002
"57",0.663964174454829,0.489859813084112,-26.2219511336845,"-1","0","1","all",-4.6746742387208
"58",0.664200626959248,0.462925809822362,-30.3033163425839,"-1","0","1","all",-11.3250183552654
"59",0.70513572204126,0.473517915309446,-32.847266064087,"-1","0","1","all",-1.52414210473504
"6",0.680200803212851,0.432516733601071,-36.4133750565822,"-1","0","1","all",-6.27851150615511
"60",0.680878105141537,0.544650491045638,-20.0076361785169,"-1","0","1","all",4.15920302719715
"61",0.722921511627907,0.55343992248062,-23.4439820120501,"-1","0","1","all",-3.51755866516773
"62",0.68634703196347,0.508630136986301,-25.8931541480939,"-1","0","1","all",8.3727737588765
"63",0.695504273504273,0.465384615384615,-33.0867353208642,"-1","0","1","all",-10.17856541863
"64",0.729318181818182,0.434621212121212,-40.407188116755,"-1","0","1","all",-10.3761347892475
"65",0.640967261904762,0.479151785714286,-25.2455134306874,"-1","0","1","all",17.3994747005545
"66",0.735798816568047,0.412820512820513,-43.8949202519769,"-1","0","1","all",-9.69248958304403
"7",0.710722092115535,0.512548790007806,-27.8833744309039,"-1","0","1","all",-5.76766578457704
"8",0.687254901960784,0.502244759972955,-26.920163313493,"-1","0","1","all",-0.465602172652761
"9",0.668915094339623,0.451132075471698,-32.5576475565898,"-1","0","1","all",-16.6597573583161
"1",0.618441127694859,0.603880597014925,-2.35439236297329,"0","0","1","all",1.09495380247917
"10",0.517010954616588,0.580798122065728,12.337681992917,"0","0","1","all",-1.99660448120314
"11",0.648370702541106,0.515216741405082,-20.5367023238657,"0","0","1","all",-20.0291635818796
"12",0.577345029239766,0.545450292397661,-5.52438060895812,"0","0","1","all",-15.23871778683
"13",0.642649572649573,0.423361823361823,-34.1224453606419,"0","0","1","all",-8.49371645701468
"14",0.630323886639676,0.617228969860549,-2.0774901692109,"0","0","1","all",-3.71607278623631
"15",0.565235294117647,0.547852941176471,-3.07524196066189,"0","0","1","all",1.75822587461595
"16",0.604921383647799,0.595534591194969,-1.55173758220051,"0","0","1","all",-11.9778218746541
"17",0.528939068100358,0.646688172043011,22.2613739547617,"0","0","1","all",9.51226225313092
"18",0.643579676674365,0.538013856812933,-16.4029138407435,"0","0","1","all",-14.2896808276966
"19",0.647169590643275,0.526631578947368,-18.6254134061048,"0","0","1","all",-7.9127090742099
"2",0.682872928176796,0.5448802946593,-20.2076591154261,"0","0","1","all",-6.62671926145021
"20",0.655744234800839,0.626519916142558,-4.45666421560791,"0","0","1","all",3.80615084605604
"21",0.581000827129859,0.61889164598842,6.52164628503908,"0","0","1","all",-1.29708058838287
"22",0.662718676122931,0.654609929078014,-1.22355794955945,"0","0","1","all",2.19252486889948
"23",0.595080213903743,0.584554367201426,-1.76881140666187,"0","0","1","all",-2.58722624745263
"24",0.630561002178649,0.652755991285403,3.51987976263487,"0","0","1","all",5.91763063488905
"25",0.627560192616372,0.655248796147673,4.41210323042688,"0","0","1","all",4.76544373564859
"26",0.638344226579521,0.614891067538126,-3.6740614334471,"0","0","1","all",10.3987833654227
"27",0.709393939393939,0.587510237510238,-17.1813847166261,"0","0","1","all",-14.0183029159877
"28",0.490234741784038,0.691298904538341,41.013854306327,"0","0","1","all",37.4257645751442
"29",0.613069507864028,0.665459157787925,8.54546658280645,"0","0","1","all",11.534584846989
"3",0.591299435028249,0.53580790960452,-9.38467418306899,"0","0","1","all",3.31781084287024
"30",0.714404761904762,0.535952380952381,-24.9791701383103,"0","0","1","all",-7.44940775835419
"31",0.743365079365079,0.619619047619048,-16.646737273659,"0","0","1","all",1.81174495109398
"32",0.652848837209302,0.510167958656331,-21.8551172064397,"0","0","1","all",-14.5038758782082
"33",0.612111111111111,0.587597222222222,-4.00481031040117,"0","0","1","all",1.808129937604
"34",0.610385802469136,0.626697530864198,2.67236366394459,"0","0","1","all",-2.86177995406708
"35",0.651860465116279,0.444728682170543,-31.7754786538233,"0","0","1","all",-17.1640056087452
"36",0.701687631027254,0.54059748427673,-22.9575297650169,"0","0","1","all",-10.1692235474541
"37",0.529546247818499,0.635113438045375,19.9354052005405,"0","0","1","all",2.32892200887951
"38",0.668872549019608,0.531192810457516,-20.5838524490045,"0","0","1","all",-2.02095604832226
"39",0.664483333333333,0.599938888888889,-9.71347830812577,"0","0","1","all",-6.90704473428178
"4",0.553217948717949,0.656628205128205,18.6924984357257,"0","0","1","all",9.23804009599196
"40",0.566609336609337,0.646674856674857,14.1306390298195,"0","0","1","all",6.30052360949044
"41",0.568611847922193,0.570557029177719,0.342092987093771,"0","0","1","all",-3.00071899697053
"42",0.580721326164875,0.736841397849462,26.8838192521043,"0","0","1","all",14.2494577946705
"43",0.658285714285714,0.611555555555556,-7.09876543209877,"0","0","1","all",8.16270426494287
"44",0.499342948717949,0.619887820512821,24.1406977117366,"0","0","1","all",0.949514083871421
"45",0.671490196078431,0.553333333333333,-17.5962156164224,"0","0","1","all",-8.07794426185513
"46",0.572845528455285,0.708780487804878,23.729775759296,"0","0","1","all",18.702575619966
"47",0.578555555555556,0.652641975308642,12.8054115186821,"0","0","1","all",6.11653745708605
"48",0.571853512705531,0.631330343796711,10.4007109809969,"0","0","1","all",3.71682479370549
"49",0.661875,0.525236486486486,-20.6441569047801,"0","0","1","all",-21.0889274501753
"5",0.645345211581292,0.543110616184113,-15.8418461255292,"0","0","1","all",-8.71367895582225
"50",0.661694214876033,0.560853994490358,-15.2397010762089,"0","0","1","all",-16.8601635515515
"51",0.607595628415301,0.656502732240437,8.04928500764458,"0","0","1","all",3.76832093150985
"52",0.621859185918592,0.603696369636964,-2.92072814761088,"0","0","1","all",-10.7074753126065
"53",0.485882352941176,0.662401960784314,36.3297013720742,"0","0","1","all",-12.0229902380295
"54",0.602547425474255,0.521788617886179,-13.4028964648736,"0","0","1","all",-20.1228999178838
"55",0.650953984287318,0.61324354657688,-5.79310344827586,"0","0","1","all",5.49515230258158
"56",0.629377593360996,0.528782849239281,-15.9832102672293,"0","0","1","all",-11.1376844972497
"57",0.608238696109359,0.626624605678233,3.02281155185976,"0","0","1","all",2.23863400686474
"58",0.543273960983885,0.601060220525869,10.6366702054581,"0","0","1","all",2.62460660357495
"59",0.767246376811594,0.70343685300207,-8.31669275190243,"0","0","1","all",-3.6251608672368
"6",0.609785185185185,0.635451851851852,4.20913254212169,"0","0","1","all",1.78440349892479
"60",0.619748811948405,0.558431771894094,-9.89385358586467,"0","0","1","all",-8.83382242713258
"61",0.616443167305236,0.570868454661558,-7.39317346040297,"0","0","1","all",-9.43953622618461
"62",0.644962962962963,0.579,-10.2274032387734,"0","0","1","all",-3.24650261167153
"63",0.628691358024691,0.512740740740741,-18.4431702144372,"0","0","1","all",-7.16177123161219
"64",0.681658692185008,0.657145135566188,-3.59616284510997,"0","0","1","all",3.6276214459615
"65",0.648138528138528,0.492554112554113,-24.0048089767566,"0","0","1","all",-12.3130201447271
"66",0.561688888888889,0.650296296296296,15.775175396951,"0","0","1","all",9.30542442064188
"7",0.70110809178744,0.653997584541063,-6.71943567592708,"0","0","1","all",-3.81751849109552
"8",0.570361581920904,0.668666666666667,17.2355726370426,"0","0","1","all",9.52506757728162
"9",0.632461538461538,0.670010256410256,5.93691721397876,"0","0","1","all",5.62720655239643
"1",0.647450980392157,0.776928104575163,19.9979810216031,"0.5","0","1","all",3.21227350832515
"10",0.58747311827957,0.729829749103943,24.2320246484244,"0.5","0","1","all",5.60459144223836
"11",0.47969696969697,0.696256684491979,45.1451079484226,"0.5","0","1","all",30.5848645203754
"12",0.701300287356322,0.534489942528736,-23.7858657460997,"0.5","0","1","all",-28.3858900912015
"13",0.546826156299841,0.642105263157895,17.4240214664878,"0.5","0","1","all",-3.47267336400042
"14",0.703863112866074,0.756538334978611,7.48373101952277,"0.5","0","1","all",-2.8985684955247
"15",0.584565476190476,0.685321428571429,17.2360422373151,"0.5","0","1","all",-6.51096648041441
"16",0.560772486772487,0.711587301587302,26.8941180910686,"0.5","0","1","all",11.5032792628185
"17",0.572356060606061,0.575818181818182,0.604889412449865,"0.5","0","1","all",-14.5057657542711
"18",0.711322916666667,0.611208333333333,-14.0744211929064,"0.5","0","1","all",-14.231011441923
"19",0.724697938877043,0.73089552238806,0.855195410189763,"0.5","0","1","all",-2.05229169300815
"2",0.626564774381368,0.647132459970888,3.28261122081542,"0.5","0","1","all",-3.3409385303249
"20",0.560034246575343,0.68365296803653,22.0734217982429,"0.5","0","1","all",14.0103866115071
"21",0.585177514792899,0.591301775147929,1.04656453814653,"0.5","0","1","all",-11.477172888549
"22",0.520205314009662,0.674432367149758,29.6473428830125,"0.5","0","1","all",3.43792788007982
"23",0.552623456790123,0.549135802469136,-0.631108628874612,"0.5","0","1","all",2.57297213165256
"24",0.503180778032037,0.67395881006865,33.9396971212879,"0.5","0","1","all",0.760210040710934
"25",0.55575641025641,0.531589743589744,-4.34842787607557,"0.5","0","1","all",-14.2902156801168
"26",0.653020576131687,0.727481481481482,11.4025358574273,"0.5","0","1","all",9.78286518737886
"27",0.56179347826087,0.524221014492754,-6.68794943729645,"0.5","0","1","all",-10.7956026490244
"28",0.575411522633745,0.575946502057613,0.0929733595565996,"0.5","0","1","all",1.50154907872186
"29",0.624771241830065,0.595052287581699,-4.75677372110053,"0.5","0","1","all",-11.5895100189874
"3",0.545175664095973,0.672596401028278,23.3724183458552,"0.5","0","1","all",0.75947971351323
"30",0.773030303030303,0.545606060606061,-29.4198353586829,"0.5","0","1","all",-5.33805677971809
"31",0.671271186440678,0.669915254237288,-0.201994697639184,"0.5","0","1","all",1.05750262320126
"32",0.579338666666667,0.629829333333333,8.71522471599801,"0.5","0","1","all",-10.8904287186183
"33",0.643672131147541,0.662327868852459,2.89832925835371,"0.5","0","1","all",-0.64266618878855
"34",0.53255376344086,0.573145161290323,7.6220281661703,"0.5","0","1","all",3.14888481429432
"35",0.636787878787879,0.564969696969697,-11.2781954887218,"0.5","0","1","all",4.78319237767139
"36",0.512919896640827,0.543488372093023,5.95969773299749,"0.5","0","1","all",1.22257252150854
"37",0.604263233190272,0.54274678111588,-10.1804062692362,"0.5","0","1","all",-22.0759554226241
"38",0.654583333333333,0.622825520833333,-4.8516072565245,"0.5","0","1","all",-6.43339122163357
"39",0.568488120950324,0.596328293736501,4.89723034839102,"0.5","0","1","all",1.84161849947122
"4",0.53015625,0.649635416666667,22.5365949503881,"0.5","0","1","all",-5.39380649577042
"40",0.62062734082397,0.642162921348315,3.4699696754824,"0.5","0","1","all",7.27150716188711
"41",0.581836734693878,0.637427334570192,9.55432968761626,"0.5","0","1","all",-6.14605310470222
"42",0.617233273056058,0.62664255575648,1.52442894950145,"0.5","0","1","all",-12.2439535714124
"43",0.584045584045584,0.642564102564103,10.019512195122,"0.5","0","1","all",0.141048327782861
"44",0.65096463022508,0.608520900321543,-6.52012842677204,"0.5","0","1","all",-2.15055680236727
"45",0.553468834688347,0.716368563685637,29.4325025706312,"0.5","0","1","all",5.30981907261942
"46",0.414781746031746,0.688035714285714,65.8789763214542,"0.5","0","1","all",27.5161196251368
"47",0.631702127659574,0.537304964539007,-14.9433030200965,"0.5","0","1","all",-13.4565693405619
"48",0.615954922894425,0.595255041518387,-3.36061627347135,"0.5","0","1","all",-1.34853826068957
"49",0.609320695102686,0.730706951026856,19.9215711693026,"0.5","0","1","all",8.32148530918412
"5",0.605797905113986,0.738354898336414,21.8813885131356,"0.5","0","1","all",10.1023929772647
"50",0.48281862745098,0.694571078431373,43.857556221128,"0.5","0","1","all",18.7909432016016
"51",0.618848484848485,0.601636363636364,-2.78131426892567,"0.5","0","1","all",2.88552496562208
"52",0.691070559610706,0.713787510137875,3.28721144480043,"0.5","0","1","all",3.25555721447568
"53",0.492163742690058,0.684912280701754,39.1634980988593,"0.5","0","1","all",5.62802468664303
"54",0.600456790123457,0.662012345679012,10.2514546538643,"0.5","0","1","all",-2.62488061212042
"55",0.58612685560054,0.597800269905533,1.991619082704,"0.5","0","1","all",8.99720081913891
"56",0.582128851540616,0.58547619047619,0.575016841497455,"0.5","0","1","all",3.78925042229959
"57",0.605635897435897,0.673964102564103,11.2820599666382,"0.5","0","1","all",-2.29367742328796
"58",0.523553921568627,0.589191176470588,12.53686625158,"0.5","0","1","all",4.6384129240328
"59",0.623253012048193,0.656281124497992,5.29931052258522,"0.5","0","1","all",11.9497931178899
"6",0.618969359331476,0.576703806870938,-6.82837556065584,"0.5","0","1","all",-17.5978984440943
"60",0.702536566589684,0.738240954580446,5.08221061916842,"0.5","0","1","all",-0.303989094149587
"61",0.605824499411072,0.596389870435807,-1.55732047555629,"0.5","0","1","all",-9.25007109364461
"62",0.620539682539683,0.610285714285714,-1.65242748247812,"0.5","0","1","all",-8.81111286712848
"63",0.69460372960373,0.743100233100233,6.98189506183197,"0.5","0","1","all",-2.87934922282155
"64",0.664350877192982,0.637508771929825,-4.04035069187705,"0.5","0","1","all",-18.0290971470381
"65",0.624031830238727,0.69342175066313,11.1196123437898,"0.5","0","1","all",11.2217844657164
"66",0.559208523592085,0.664459665144597,18.8214480130648,"0.5","0","1","all",10.7310097371978
"7",0.588416161616162,0.628278787878788,6.77456345745813,"0.5","0","1","all",-6.8424340363187
"8",0.527309941520468,0.71480701754386,35.5572806920262,"0.5","0","1","all",11.1734794827844
"9",0.6375,0.593075980392157,-6.9684736639754,"0.5","0","1","all",-5.00761101412325
"1",0.545581039755352,0.640030581039755,17.3117345365881,"1","0","1","all",-1.15236028917577
"10",0.507913125590179,0.700028328611898,37.8244218041199,"1","0","1","all",2.10753651380635
"11",0.523492063492063,0.679218559218559,29.7476325978449,"1","0","1","all",13.9722211311681
"12",0.528304498269896,0.5760092272203,9.0297790585975,"1","0","1","all",-10.6482719676403
"13",0.456601731601732,0.66987012987013,46.7077506518132,"1","0","1","all",-7.34495109967455
"14",0.608331322878971,0.707599517490953,16.3181133172937,"1","0","1","all",-2.76846160164397
"15",0.720496372661321,0.840110729285987,16.6016597950164,"1","0","1","all",6.69513148156797
"16",0.629164467897977,0.776306068601583,23.3868262133751,"1","0","1","all",16.0156062857717
"17",0.696438953488372,0.632984496124031,-9.11127343559777,"1","0","1","all",-11.6371528743166
"18",0.567770876466529,0.672870945479641,18.511000364653,"1","0","1","all",-1.71426785971993
"19",0.531970121381886,0.732436974789916,37.6838557938709,"1","0","1","all",9.99849501444603
"2",0.614790874524715,0.704930291508238,14.6618013894902,"1","0","1","all",-3.92381889225438
"20",0.492729044834308,0.649727095516569,31.8629584206986,"1","0","1","all",17.5876075447411
"21",0.593384168482208,0.667509077705156,12.4918919580462,"1","0","1","all",2.68546704055334
"22",0.522881355932203,0.687697740112994,31.5207995678012,"1","0","1","all",4.76689535624626
"23",0.610941680042804,0.653493846976993,6.96501291763366,"1","0","1","all",-12.0962465403435
"24",0.557450980392157,0.633281045751634,13.6030015242115,"1","0","1","all",-8.84908717320329
"25",0.555344611528822,0.653809523809524,17.730416436316,"1","0","1","all",0.471556224290719
"26",0.415034013605442,0.660612244897959,59.17062776594,"1","0","1","all",6.68010464025565
"27",0.650297462817148,0.698556430446194,7.42106042056263,"1","0","1","all",-14.1007115785132
"28",0.591244131455399,0.726103286384977,22.8093857942589,"1","0","1","all",-2.68998144458216
"29",0.528751431844215,0.688487972508591,30.2101386481802,"1","0","1","all",-3.99673031640727
"3",0.538228941684665,0.716076313894888,33.0430711610487,"1","0","1","all",6.18851872249996
"30",0.484623655913978,0.612903225806452,26.4699356556468,"1","0","1","all",-1.02926368304241
"31",0.508818565400844,0.709789029535865,39.4974707687204,"1","0","1","all",-0.900521659955749
"32",0.525131147540984,0.683606557377049,30.1782536758968,"1","0","1","all",9.54436710402018
"33",0.652111111111111,0.533722222222222,-18.1547111944113,"1","0","1","all",-21.1563036303309
"34",0.547304964539007,0.59661938534279,9.01040991749815,"1","0","1","all",8.1217459003034
"35",0.548095238095238,0.619206349206349,12.9742253113235,"1","0","1","all",-1.15579202912052
"36",0.542705061082024,0.566387434554974,4.36376499340773,"1","0","1","all",-4.80171482419985
"37",0.546194871794872,0.684369230769231,25.2976302249596,"1","0","1","all",-1.36981900861791
"38",0.591474358974359,0.785779914529915,32.851053068892,"1","0","1","all",3.32734302077814
"39",0.485176940639269,0.698607305936073,43.9902121101608,"1","0","1","all",21.5460355665704
"4",0.382751677852349,0.725615212527964,89.578584370799,"1","0","1","all",4.90532402718991
"40",0.538254545454545,0.605042424242424,12.4082331216502,"1","0","1","all",-12.6795825827848
"41",0.551875,0.716206140350877,29.7768770737716,"1","0","1","all",2.9857450751813
