"mean","se","mu.psi.yr","mu.v.yr","r","case","actual","mean.actual","se.actual"
-48.655277676297,1.43760277412866,"-0.5","-0.5","1","all",-0.244918662403709,-26.400567630114,1.39456100617095
-34.3261603553234,1.93122943966491,"-0.5","0","1","all",-0.244918662403709,-22.6475259362368,1.42583857530387
-63.6546928674567,1.20277827669419,"-1","-0.5","1","all",-0.46211715726001,-48.3362051728561,1.17616279214326
-52.2661773248663,1.48009970553248,"-1","0","1","all",-0.46211715726001,-45.1454136794065,1.20294718290675
-32.312166975659,2.01288656847566,"0","-0.5","1","all",0,-0.388688551082358,1.41263237973183
-18.8809147341823,2.11460505623306,"0","0","1","all",0,-1.82309662107652,1.26615123915741
-14.6897035763092,2.02254511507532,"0.5","-0.5","1","all",0.244918662403709,23.379663849955,1.5882977545139
-2.06218759599438,2.22609495631276,"0.5","0","1","all",0.244918662403709,23.8737536476345,1.74226097639961
3.05889858644076,1.90735052637208,"1","-0.5","1","all",0.46211715726001,46.1469224809263,2.14421409283718
24.2462441301632,2.56868208358074,"1","0","1","all",0.46211715726001,49.5082688842693,2.56910976238859
-46.0000092570755,1.33545002900022,"-0.5","-0.5","10","all",-0.244918662403709,-25.8414461181812,1.43404135344506
-36.2419245502155,1.63656298078903,"-0.5","0","10","all",-0.244918662403709,-23.4091368767984,1.31205845384473
-53.3428461653135,1.74203925120042,"-1","-0.5","10","all",-0.46211715726001,-43.6121087127129,1.4792981619153
-49.2179538886949,2.07047470015507,"-1","0","10","all",-0.46211715726001,-43.8535184521489,1.34789309675173
-30.7592848930275,1.79976043430712,"0","-0.5","10","all",0,-2.67117442566249,1.29335575006945
-11.5400178595259,1.80258490250205,"0","0","10","all",0,1.12200957167004,1.33436798373624
-10.0923195576305,1.84337793412894,"0.5","-0.5","10","all",0.244918662403709,24.0974952437971,1.40076816465989
8.6310702971399,1.83854169958726,"0.5","0","10","all",0.244918662403709,25.8102022036632,1.57778926469156
6.7647463828987,2.35174186065135,"1","-0.5","10","all",0.46211715726001,48.8564781886883,2.49118364524239
15.263729458282,2.43094744682447,"1","0","10","all",0.46211715726001,46.871992231654,2.38298455960973
-43.7206888364311,1.41043194839131,"-0.5","-0.5","2","all",-0.244918662403709,-23.3580418205466,1.13987739179727
-34.9706204545133,1.84837496870712,"-0.5","0","2","all",-0.244918662403709,-25.5721424476194,1.41703007479428
-60.0906730020343,1.13248219898509,"-1","-0.5","2","all",-0.46211715726001,-45.468902789815,1.01163695940961
-54.1143120550834,1.3039010183625,"-1","0","2","all",-0.46211715726001,-46.473269244857,1.15310909035763
-29.27719810252,2.52088031992696,"0","-0.5","2","all",0,-1.08176771005779,1.36505644122772
-14.3183803363057,1.64368383330088,"0","0","2","all",0,0.50695941867304,1.49330685097723
-9.4688797771406,1.55510325361296,"0.5","-0.5","2","all",0.244918662403709,23.4338557007596,1.3427750865661
4.05242155321041,2.23757417095199,"0.5","0","2","all",0.244918662403709,24.9466907237052,1.4467537129713
5.69902681110933,2.43448365930691,"1","-0.5","2","all",0.46211715726001,48.5913623998133,2.84550736193911
21.7711359299706,2.65864601895297,"1","0","2","all",0.46211715726001,48.3389391537219,2.5152934884426
-44.6369721192494,1.31455303520676,"-0.5","-0.5","3","all",-0.244918662403709,-19.6074204880914,1.24377910112347
-34.9835083602344,1.38002881275227,"-0.5","0","3","all",-0.244918662403709,-23.9752259207465,1.25034905100878
-60.7229428948008,1.25820296232731,"-1","-0.5","3","all",-0.46211715726001,-46.0448604293273,1.14636938248946
-48.6093635614792,1.45324060487974,"-1","0","3","all",-0.46211715726001,-43.4384194123721,1.19059689382836
-32.1581635019928,1.67887083115953,"0","-0.5","3","all",0,0.312675304959238,1.08022871694755
-12.2513542207491,1.95188221752828,"0","0","3","all",0,-1.65742994365124,1.23037317403007
-11.9907575916271,1.72730978693963,"0.5","-0.5","3","all",0.244918662403709,24.9813960933591,1.55231576193588
7.10429074449999,2.19469455173647,"0.5","0","3","all",0.244918662403709,26.0538946227656,1.33286061318521
-0.47411591181052,2.43357366056506,"1","-0.5","3","all",0.46211715726001,47.0093254710657,2.57894548353622
17.4905566275847,2.49264756100521,"1","0","3","all",0.46211715726001,46.5347875608965,2.26174326740944
-41.4665830909127,1.57096675745061,"-0.5","-0.5","4","all",-0.244918662403709,-23.8676388751025,1.24249768309337
-34.0520529495918,1.49918709914405,"-0.5","0","4","all",-0.244918662403709,-22.4598307319289,0.919135190686831
-60.293032656633,1.65517027503116,"-1","-0.5","4","all",-0.46211715726001,-43.9688746048323,1.41893482498448
-51.9374258505811,1.32697775307821,"-1","0","4","all",-0.46211715726001,-46.7683466531742,1.19828479653885
-25.3708172156773,1.80258507162468,"0","-0.5","4","all",0,0.180457015124794,1.37887148336094
-19.1409828608804,2.09313634225613,"0","0","4","all",0,1.06772352866396,1.5488316665733
-11.9030907151265,1.5815288602949,"0.5","-0.5","4","all",0.244918662403709,24.2495211889023,1.57175715576311
0.183716902406534,1.7017577592278,"0.5","0","4","all",0.244918662403709,21.9121929740661,1.3205210581018
6.50930926148007,2.2056967064657,"1","-0.5","4","all",0.46211715726001,46.1743998583764,1.94659211936696
26.798346248374,2.61558832308601,"1","0","4","all",0.46211715726001,50.8795298847419,2.82151498884317
-46.6495077803358,1.42394890600341,"-0.5","-0.5","5","all",-0.244918662403709,-24.5650421580053,1.23460075278772
-30.2214361150235,1.77812265865295,"-0.5","0","5","all",-0.244918662403709,-22.8898170337425,1.12789175838373
