"var.names","mean","2.5%","97.5%","Rhat","actual.val","p.yr","mu.v.yr","r","case","sp"
"p.yr",-0.159,-0.283,-0.035,1.065,0.5,"0.5","-0.5","7","all","ms"
"sigma.p.site",1.608,1.562,1.664,0.999,1.5,"0.5","-0.5","7","all","ms"
"per_chage_bci",5.91063491290139,1.37777175491063,10.3843391188819,NA,0,"0.5","-0.5","7","all","ms"
"mu.psi",0.493,0.317,0.728,2.261,0,"0.5","0","7","all","ms"
"sigma.psi.sp",0.634,0.52,0.774,1.016,0.5,"0.5","0","7","all","ms"
"mu.psi.yr",0.034,-0.085,0.133,1.014,0,"0.5","0","7","all","ms"
"sigma.psi.yr",0.266,0.182,0.369,1.057,0.2,"0.5","0","7","all","ms"
"mu.p",-2.098,-2.2,-2.024,1.027,-0.5,"0.5","0","7","all","ms"
"sigma.p.sp",0.247,0.198,0.306,1.028,NA,"0.5","0","7","all","ms"
"p.yr",0.248,0.141,0.356,1.03,0.5,"0.5","0","7","all","ms"
"sigma.p.site",1.517,1.472,1.564,1.019,1.5,"0.5","0","7","all","ms"
"per_chage_bci",1.28179863120046,-3.28541167941747,5.00788309298639,NA,0,"0.5","0","7","all","ms"
"mu.psi",0.586,0.442,0.79,1.086,0,"1","-0.5","7","all","ms"
"sigma.psi.sp",0.669,0.547,0.83,1.015,0.5,"1","-0.5","7","all","ms"
"mu.psi.yr",0.221,0.103,0.333,1.009,0,"1","-0.5","7","all","ms"
"sigma.psi.yr",0.279,0.187,0.397,1.08,0.2,"1","-0.5","7","all","ms"
"mu.p",-2.197,-2.289,-2.094,1.086,-0.5,"1","-0.5","7","all","ms"
"sigma.p.sp",0.244,0.19,0.311,1.015,NA,"1","-0.5","7","all","ms"
"p.yr",-0.1,-0.221,-0.01,1.071,1,"1","-0.5","7","all","ms"
"sigma.p.site",1.611,1.561,1.671,1.001,1.5,"1","-0.5","7","all","ms"
"per_chage_bci",7.61439475100486,3.53951017408302,11.4419699388838,NA,0,"1","-0.5","7","all","ms"
"mu.psi",0.41,0.294,0.578,1.102,0,"1","0","7","all","ms"
"sigma.psi.sp",0.606,0.496,0.731,1.006,0.5,"1","0","7","all","ms"
"mu.psi.yr",0.093,0.001,0.187,1.031,0,"1","0","7","all","ms"
"sigma.psi.yr",0.202,0.114,0.305,1.051,0.2,"1","0","7","all","ms"
"mu.p",-2.203,-2.303,-2.128,1.089,-0.5,"1","0","7","all","ms"
"sigma.p.sp",0.268,0.22,0.33,1,NA,"1","0","7","all","ms"
"p.yr",0.61,0.519,0.695,1.056,1,"1","0","7","all","ms"
"sigma.p.site",1.543,1.494,1.589,1.017,1.5,"1","0","7","all","ms"
"per_chage_bci",3.68129620004558,0.0389225439830197,7.63652134477092,NA,0,"1","0","7","all","ms"
"mu.psi",0.502,0.302,0.683,1.066,0,"-0.5","-0.5","8","all","ms"
"sigma.psi.sp",0.63,0.507,0.786,1.017,0.5,"-0.5","-0.5","8","all","ms"
"mu.psi.yr",0.193,0.035,0.371,1.001,0,"-0.5","-0.5","8","all","ms"
"sigma.psi.yr",0.359,0.231,0.49,1.013,0.2,"-0.5","-0.5","8","all","ms"
"mu.p",-2.316,-2.418,-2.22,1.074,-0.5,"-0.5","-0.5","8","all","ms"
"sigma.p.sp",0.328,0.269,0.403,1.044,NA,"-0.5","-0.5","8","all","ms"
"p.yr",-0.839,-0.93,-0.724,1.004,-0.5,"-0.5","-0.5","8","all","ms"
"sigma.p.site",1.614,1.562,1.667,1.002,1.5,"-0.5","-0.5","8","all","ms"
"per_chage_bci",7.09948688101355,1.29927033735412,13.4595746315589,NA,0,"-0.5","-0.5","8","all","ms"
"mu.psi",0.438,0.309,0.591,1.094,0,"-0.5","0","8","all","ms"
"sigma.psi.sp",0.565,0.469,0.702,1.007,0.5,"-0.5","0","8","all","ms"
"mu.psi.yr",-0.005,-0.107,0.107,1.016,0,"-0.5","0","8","all","ms"
"sigma.psi.yr",0.273,0.186,0.38,0.998,0.2,"-0.5","0","8","all","ms"
"mu.p",-2.097,-2.193,-1.962,1.118,-0.5,"-0.5","0","8","all","ms"
"sigma.p.sp",0.333,0.279,0.402,0.999,NA,"-0.5","0","8","all","ms"
"p.yr",-0.335,-0.445,-0.234,1.048,-0.5,"-0.5","0","8","all","ms"
"sigma.p.site",1.493,1.446,1.544,1.011,1.5,"-0.5","0","8","all","ms"
"per_chage_bci",-0.208091903777037,-4.23311493883422,4.12186911465589,NA,0,"-0.5","0","8","all","ms"
"mu.psi",0.504,0.353,0.674,2.058,0,"-1","-0.5","8","all","ms"
"sigma.psi.sp",0.698,0.578,0.889,0.997,0.5,"-1","-0.5","8","all","ms"
"mu.psi.yr",0.408,0.282,0.535,1.003,0,"-1","-0.5","8","all","ms"
"sigma.psi.yr",0.244,0.105,0.411,1.084,0.2,"-1","-0.5","8","all","ms"
"mu.p",-2.135,-2.233,-2.03,1.081,-0.5,"-1","-0.5","8","all","ms"
"sigma.p.sp",0.302,0.245,0.37,1,NA,"-1","-0.5","8","all","ms"
"p.yr",-1.38,-1.494,-1.278,0.996,-1,"-1","-0.5","8","all","ms"
"sigma.p.site",1.542,1.489,1.597,1.05,1.5,"-1","-0.5","8","all","ms"
"per_chage_bci",14.4364347240019,9.79152995027906,19.6328524075466,NA,0,"-1","-0.5","8","all","ms"
"mu.psi",0.554,0.435,0.681,1.141,0,"-1","0","8","all","ms"
"sigma.psi.sp",0.657,0.515,0.805,1.038,0.5,"-1","0","8","all","ms"
"mu.psi.yr",0.012,-0.138,0.16,1.027,0,"-1","0","8","all","ms"
"sigma.psi.yr",0.307,0.19,0.434,1.033,0.2,"-1","0","8","all","ms"
"mu.p",-2.242,-2.348,-2.125,1.044,-0.5,"-1","0","8","all","ms"
"sigma.p.sp",0.361,0.294,0.429,1.048,NA,"-1","0","8","all","ms"
"p.yr",-0.696,-0.803,-0.608,1.041,-1,"-1","0","8","all","ms"
"sigma.p.site",1.532,1.48,1.589,1.01,1.5,"-1","0","8","all","ms"
"per_chage_bci",0.439368808306927,-5.28333206135012,5.78260855137846,NA,0,"-1","0","8","all","ms"
"mu.psi",0.378,0.252,0.546,1.211,0,"0","-0.5","8","all","ms"
"sigma.psi.sp",0.695,0.542,0.853,1.055,0.5,"0","-0.5","8","all","ms"
"mu.psi.yr",0.448,0.29,0.585,1.062,0,"0","-0.5","8","all","ms"
"sigma.psi.yr",0.317,0.185,0.443,1.119,0.2,"0","-0.5","8","all","ms"
"mu.p",-2.297,-2.406,-2.175,1.084,-0.5,"0","-0.5","8","all","ms"
"sigma.p.sp",0.282,0.222,0.346,1,NA,"0","-0.5","8","all","ms"
"p.yr",-0.643,-0.77,-0.506,1.012,0,"0","-0.5","8","all","ms"
"sigma.p.site",1.542,1.485,1.6,1.017,1.5,"0","-0.5","8","all","ms"
"per_chage_bci",17.1844081091103,11.3070617186524,22.6918222941305,NA,0,"0","-0.5","8","all","ms"
"mu.psi",0.485,0.362,0.637,1.346,0,"0","0","8","all","ms"
"sigma.psi.sp",0.661,0.557,0.834,1,0.5,"0","0","8","all","ms"
"mu.psi.yr",-0.026,-0.133,0.073,1.024,0,"0","0","8","all","ms"
"sigma.psi.yr",0.196,0.094,0.3,1.161,0.2,"0","0","8","all","ms"
"mu.p",-2.147,-2.254,-2.048,1.116,-0.5,"0","0","8","all","ms"
"sigma.p.sp",0.3,0.244,0.365,1.031,NA,"0","0","8","all","ms"
"p.yr",-0.004,-0.127,0.131,1.199,0,"0","0","8","all","ms"
"sigma.p.site",1.514,1.467,1.563,1.009,1.5,"0","0","8","all","ms"
"per_chage_bci",-1.00144355734259,-5.09747871875227,2.80299768387201,NA,0,"0","0","8","all","ms"
"mu.psi",0.465,0.345,0.604,1.089,0,"0.5","-0.5","8","all","ms"
"sigma.psi.sp",0.579,0.471,0.709,0.996,0.5,"0.5","-0.5","8","all","ms"
"mu.psi.yr",0.334,0.202,0.469,1.028,0,"0.5","-0.5","8","all","ms"
"sigma.psi.yr",0.355,0.251,0.484,1.061,0.2,"0.5","-0.5","8","all","ms"
"mu.p",-2.212,-2.316,-2.11,1.027,-0.5,"0.5","-0.5","8","all","ms"
"sigma.p.sp",0.288,0.236,0.351,1.001,NA,"0.5","-0.5","8","all","ms"
"p.yr",-0.347,-0.445,-0.241,1.064,0.5,"0.5","-0.5","8","all","ms"
"sigma.p.site",1.579,1.529,1.631,1.005,1.5,"0.5","-0.5","8","all","ms"
"per_chage_bci",12.3067142301817,7.26986518681135,17.1885394933344,NA,0,"0.5","-0.5","8","all","ms"
"mu.psi",0.372,0.262,0.511,1.066,0,"0.5","0","8","all","ms"
"sigma.psi.sp",0.532,0.433,0.657,1.022,0.5,"0.5","0","8","all","ms"
"mu.psi.yr",0.028,-0.082,0.139,1.003,0,"0.5","0","8","all","ms"
"sigma.psi.yr",0.327,0.245,0.437,1.017,0.2,"0.5","0","8","all","ms"
"mu.p",-2.087,-2.182,-1.996,1.137,-0.5,"0.5","0","8","all","ms"
"sigma.p.sp",0.312,0.258,0.379,1.011,NA,"0.5","0","8","all","ms"
"p.yr",0.269,0.156,0.384,1.023,0.5,"0.5","0","8","all","ms"
"sigma.p.site",1.526,1.476,1.572,1.008,1.5,"0.5","0","8","all","ms"
"per_chage_bci",1.13787043098423,-3.31408635768346,5.51551207866975,NA,0,"0.5","0","8","all","ms"
"mu.psi",0.545,0.39,0.717,1.533,0,"1","-0.5","8","all","ms"
"sigma.psi.sp",0.659,0.541,0.801,1.052,0.5,"1","-0.5","8","all","ms"
"mu.psi.yr",0.248,0.124,0.382,1.103,0,"1","-0.5","8","all","ms"
"sigma.psi.yr",0.347,0.26,0.466,1.007,0.2,"1","-0.5","8","all","ms"
"mu.p",-2.184,-2.322,-2.072,1.212,-0.5,"1","-0.5","8","all","ms"
"sigma.p.sp",0.29,0.237,0.357,1.007,NA,"1","-0.5","8","all","ms"
"p.yr",-0.086,-0.191,0.042,1.053,1,"1","-0.5","8","all","ms"
"sigma.p.site",1.618,1.568,1.672,1.007,1.5,"1","-0.5","8","all","ms"
"per_chage_bci",8.78262655696754,4.28917367875002,13.7409279215516,NA,0,"1","-0.5","8","all","ms"
"mu.psi",0.293,0.19,0.412,1.308,0,"1","0","8","all","ms"
"sigma.psi.sp",0.532,0.434,0.653,1.012,0.5,"1","0","8","all","ms"
"mu.psi.yr",-0.004,-0.095,0.089,1.125,0,"1","0","8","all","ms"
"sigma.psi.yr",0.232,0.158,0.309,1.068,0.2,"1","0","8","all","ms"
"mu.p",-2.108,-2.237,-1.988,1.06,-0.5,"1","0","8","all","ms"
"sigma.p.sp",0.291,0.24,0.355,1.016,NA,"1","0","8","all","ms"
"p.yr",0.548,0.446,0.643,1.02,1,"1","0","8","all","ms"
"sigma.p.site",1.459,1.417,1.501,1.011,1.5,"1","0","8","all","ms"
"per_chage_bci",-0.172982788213258,-3.93185994636796,3.74683127795188,NA,0,"1","0","8","all","ms"
"mu.psi",0.577,0.486,0.669,1.05,0,"-0.5","-0.5","9","all","ms"
"sigma.psi.sp",0.58,0.467,0.704,1.003,0.5,"-0.5","-0.5","9","all","ms"
"mu.psi.yr",0.041,-0.085,0.171,1.042,0,"-0.5","-0.5","9","all","ms"
"sigma.psi.yr",0.308,0.202,0.429,1.025,0.2,"-0.5","-0.5","9","all","ms"
"mu.p",-2.289,-2.383,-2.203,1.027,-0.5,"-0.5","-0.5","9","all","ms"
"sigma.p.sp",0.278,0.226,0.341,1.018,NA,"-0.5","-0.5","9","all","ms"
"p.yr",-0.805,-0.913,-0.688,1.036,-0.5,"-0.5","-0.5","9","all","ms"
"sigma.p.site",1.566,1.517,1.614,1.006,1.5,"-0.5","-0.5","9","all","ms"
"per_chage_bci",1.46291715235675,-3.14055409967392,5.96605405006467,NA,0,"-0.5","-0.5","9","all","ms"
"mu.psi",0.564,0.459,0.713,1.314,0,"-0.5","0","9","all","ms"
"sigma.psi.sp",0.471,0.38,0.58,1.023,0.5,"-0.5","0","9","all","ms"
"mu.psi.yr",-0.073,-0.171,0.034,1.072,0,"-0.5","0","9","all","ms"
"sigma.psi.yr",0.226,0.149,0.321,1.027,0.2,"-0.5","0","9","all","ms"
"mu.p",-2.129,-2.225,-2.018,1.12,-0.5,"-0.5","0","9","all","ms"
"sigma.p.sp",0.255,0.206,0.321,1.032,NA,"-0.5","0","9","all","ms"
"p.yr",-0.28,-0.403,-0.166,1.023,-0.5,"-0.5","0","9","all","ms"
"sigma.p.site",1.486,1.432,1.534,1.003,1.5,"-0.5","0","9","all","ms"
"per_chage_bci",-2.65640710001881,-6.29717979248665,1.23534354095907,NA,0,"-0.5","0","9","all","ms"
"mu.psi",0.668,0.53,0.81,1.077,0,"-1","-0.5","9","all","ms"
"sigma.psi.sp",0.648,0.514,0.788,1.011,0.5,"-1","-0.5","9","all","ms"
"mu.psi.yr",0.173,0.017,0.33,1.077,0,"-1","-0.5","9","all","ms"
"sigma.psi.yr",0.382,0.263,0.534,1.022,0.2,"-1","-0.5","9","all","ms"
"mu.p",-2.21,-2.319,-2.111,1.035,-0.5,"-1","-0.5","9","all","ms"
"sigma.p.sp",0.329,0.274,0.4,1.001,NA,"-1","-0.5","9","all","ms"
"p.yr",-1.174,-1.307,-1.036,1.011,-1,"-1","-0.5","9","all","ms"
"sigma.p.site",1.546,1.492,1.596,0.996,1.5,"-1","-0.5","9","all","ms"
"per_chage_bci",5.68040836609972,0.544153387415172,10.4979301254533,NA,0,"-1","-0.5","9","all","ms"
"mu.psi",0.478,0.343,0.591,1.425,0,"-1","0","9","all","ms"
"sigma.psi.sp",0.644,0.535,0.778,1.012,0.5,"-1","0","9","all","ms"
"mu.psi.yr",-0.035,-0.169,0.109,1.07,0,"-1","0","9","all","ms"
"sigma.psi.yr",0.284,0.181,0.398,1.075,0.2,"-1","0","9","all","ms"
"mu.p",-2.2,-2.305,-2.094,1.025,-0.5,"-1","0","9","all","ms"
"sigma.p.sp",0.381,0.313,0.46,1.028,NA,"-1","0","9","all","ms"
"p.yr",-0.657,-0.783,-0.52,1.04,-1,"-1","0","9","all","ms"
"sigma.p.site",1.503,1.45,1.554,1.017,1.5,"-1","0","9","all","ms"
"per_chage_bci",-1.33080552620672,-6.50219154577704,4.20280984101017,NA,0,"-1","0","9","all","ms"
"mu.psi",0.512,0.351,0.639,1.232,0,"0","-0.5","9","all","ms"
"sigma.psi.sp",0.634,0.528,0.767,1.015,0.5,"0","-0.5","9","all","ms"
"mu.psi.yr",0.27,0.144,0.409,1.008,0,"0","-0.5","9","all","ms"
"sigma.psi.yr",0.359,0.258,0.479,1.029,0.2,"0","-0.5","9","all","ms"
"mu.p",-2.185,-2.29,-2.085,1.036,-0.5,"0","-0.5","9","all","ms"
"sigma.p.sp",0.258,0.21,0.32,1.007,NA,"0","-0.5","9","all","ms"
"p.yr",-0.694,-0.823,-0.588,1.005,0,"0","-0.5","9","all","ms"
"sigma.p.site",1.639,1.586,1.691,1.028,1.5,"0","-0.5","9","all","ms"
"per_chage_bci",9.72101998537327,5.20709465360996,14.801975982272,NA,0,"0","-0.5","9","all","ms"
"mu.psi",0.396,0.246,0.518,1.12,0,"0","0","9","all","ms"
"sigma.psi.sp",0.698,0.575,0.833,1.005,0.5,"0","0","9","all","ms"
"mu.psi.yr",0.003,-0.111,0.11,1.003,0,"0","0","9","all","ms"
"sigma.psi.yr",0.249,0.172,0.34,1.006,0.2,"0","0","9","all","ms"
"mu.p",-2.155,-2.251,-2.054,1.065,-0.5,"0","0","9","all","ms"
"sigma.p.sp",0.312,0.25,0.389,1.005,NA,"0","0","9","all","ms"
"p.yr",0.008,-0.102,0.119,1.012,0,"0","0","9","all","ms"
"sigma.p.site",1.476,1.424,1.524,1.025,1.5,"0","0","9","all","ms"
"per_chage_bci",0.124331947181483,-4.34519401110772,4.20521121964648,NA,0,"0","0","9","all","ms"
"mu.psi",0.373,0.132,0.629,1.419,0,"0.5","-0.5","9","all","ms"
"sigma.psi.sp",0.666,0.551,0.827,1.027,0.5,"0.5","-0.5","9","all","ms"
"mu.psi.yr",0.256,0.143,0.36,1.057,0,"0.5","-0.5","9","all","ms"
"sigma.psi.yr",0.243,0.146,0.347,1.002,0.2,"0.5","-0.5","9","all","ms"
"mu.p",-2.04,-2.125,-1.952,1.069,-0.5,"0.5","-0.5","9","all","ms"
"sigma.p.sp",0.245,0.194,0.296,0.997,NA,"0.5","-0.5","9","all","ms"
"p.yr",-0.331,-0.434,-0.233,1.089,0.5,"0.5","-0.5","9","all","ms"
"sigma.p.site",1.542,1.495,1.597,1,1.5,"0.5","-0.5","9","all","ms"
"per_chage_bci",10.1701778290838,5.47627141166833,14.9261537925833,NA,0,"0.5","-0.5","9","all","ms"
"mu.psi",0.624,0.5,0.779,1.374,0,"0.5","0","9","all","ms"
"sigma.psi.sp",0.615,0.499,0.773,1.01,0.5,"0.5","0","9","all","ms"
"mu.psi.yr",-0.007,-0.105,0.086,1.05,0,"0.5","0","9","all","ms"
"sigma.psi.yr",0.172,0.02,0.272,1.172,0.2,"0.5","0","9","all","ms"
"mu.p",-2.288,-2.391,-2.168,1.048,-0.5,"0.5","0","9","all","ms"
"sigma.p.sp",0.349,0.289,0.42,1.006,NA,"0.5","0","9","all","ms"
"p.yr",0.449,0.339,0.565,1.036,0.5,"0.5","0","9","all","ms"
"sigma.p.site",1.506,1.453,1.552,1.012,1.5,"0.5","0","9","all","ms"
"per_chage_bci",-0.253978415087859,-3.56942813878247,3.08826711875377,NA,0,"0.5","0","9","all","ms"
"mu.psi",0.56,0.338,0.704,1.739,0,"1","-0.5","9","all","ms"
"sigma.psi.sp",0.609,0.499,0.737,1,0.5,"1","-0.5","9","all","ms"
"mu.psi.yr",0.259,0.135,0.389,1.018,0,"1","-0.5","9","all","ms"
"sigma.psi.yr",0.308,0.199,0.418,1.06,0.2,"1","-0.5","9","all","ms"
"mu.p",-2.197,-2.311,-2.088,1.027,-0.5,"1","-0.5","9","all","ms"
"sigma.p.sp",0.203,0.16,0.254,0.996,NA,"1","-0.5","9","all","ms"
"p.yr",0.061,-0.083,0.185,1.049,1,"1","-0.5","9","all","ms"
"sigma.p.site",1.583,1.526,1.636,1.026,1.5,"1","-0.5","9","all","ms"
"per_chage_bci",9.05442831006294,4.65186820393264,13.5588675462366,NA,0,"1","-0.5","9","all","ms"
"mu.psi",0.415,0.285,0.515,1.304,0,"1","0","9","all","ms"
"sigma.psi.sp",0.557,0.472,0.673,1.01,0.5,"1","0","9","all","ms"
"mu.psi.yr",0.008,-0.089,0.099,0.997,0,"1","0","9","all","ms"
"sigma.psi.yr",0.229,0.159,0.318,1.017,0.2,"1","0","9","all","ms"
"mu.p",-2.111,-2.211,-1.993,1.047,-0.5,"1","0","9","all","ms"
"sigma.p.sp",0.267,0.22,0.319,0.997,NA,"1","0","9","all","ms"
"p.yr",0.63,0.528,0.732,1.038,1,"1","0","9","all","ms"
"sigma.p.site",1.456,1.41,1.505,1.006,1.5,"1","0","9","all","ms"
"per_chage_bci",0.345011252414803,-3.51884112644071,4.18098519614808,NA,0,"1","0","9","all","ms"
"mu.psi",-0.077,-0.212,0.038,1.167,0,"-0.5","-0.5","1","detected","ms"
"sigma.psi.sp",0.493,0.409,0.598,0.999,0.5,"-0.5","-0.5","1","detected","ms"
"mu.psi.yr",-0.085,-0.189,0.021,1.035,0,"-0.5","-0.5","1","detected","ms"
"sigma.psi.yr",0.217,0.144,0.293,1.002,0.2,"-0.5","-0.5","1","detected","ms"
"mu.p",-0.158,-0.277,-0.02,1.016,-0.5,"-0.5","-0.5","1","detected","ms"
"sigma.p.sp",0.43,0.357,0.529,1.007,NA,"-0.5","-0.5","1","detected","ms"
"p.yr",-0.336,-0.474,-0.199,1.025,-0.5,"-0.5","-0.5","1","detected","ms"
"sigma.p.site",1.108,1.063,1.156,1,1.5,"-0.5","-0.5","1","detected","ms"
"per_chage_bci",-4.36479939066205,-9.78619136377672,1.10878302643806,NA,0,"-0.5","-0.5","1","detected","ms"
"mu.psi",-0.008,-0.186,0.175,1.405,0,"-0.5","0","1","detected","ms"
"sigma.psi.sp",0.568,0.449,0.694,1.019,0.5,"-0.5","0","1","detected","ms"
"mu.psi.yr",0.046,-0.054,0.156,1.007,0,"-0.5","0","1","detected","ms"
"sigma.psi.yr",0.267,0.18,0.353,0.998,0.2,"-0.5","0","1","detected","ms"
"mu.p",-0.236,-0.395,-0.057,1.493,-0.5,"-0.5","0","1","detected","ms"
"sigma.p.sp",0.534,0.442,0.655,1.01,NA,"-0.5","0","1","detected","ms"
"p.yr",-0.372,-0.482,-0.26,1.077,-0.5,"-0.5","0","1","detected","ms"
"sigma.p.site",1.121,1.079,1.167,1.007,1.5,"-0.5","0","1","detected","ms"
"per_chage_bci",2.35943009019214,-2.58771182635275,8.14185841675348,NA,0,"-0.5","0","1","detected","ms"
"mu.psi",-0.056,-0.192,0.084,1.116,0,"-1","-0.5","1","detected","ms"
"sigma.psi.sp",0.496,0.399,0.596,1.008,0.5,"-1","-0.5","1","detected","ms"
"mu.psi.yr",-0.119,-0.236,0.016,1.013,0,"-1","-0.5","1","detected","ms"
"sigma.psi.yr",0.286,0.2,0.387,1.013,0.2,"-1","-0.5","1","detected","ms"
"mu.p",-0.156,-0.314,-0.027,1.027,-0.5,"-1","-0.5","1","detected","ms"
"sigma.p.sp",0.6,0.492,0.716,1.023,NA,"-1","-0.5","1","detected","ms"
"p.yr",-0.612,-0.753,-0.497,1.029,-1,"-1","-0.5","1","detected","ms"
"sigma.p.site",1.121,1.075,1.167,1.005,1.5,"-1","-0.5","1","detected","ms"
"per_chage_bci",-6.06342323716509,-11.9757504124334,0.813248958981158,NA,0,"-1","-0.5","1","detected","ms"
"mu.psi",0.087,-0.03,0.193,1.02,0,"-1","0","1","detected","ms"
"sigma.psi.sp",0.469,0.389,0.561,1.014,0.5,"-1","0","1","detected","ms"
"mu.psi.yr",-0.123,-0.214,-0.027,1.176,0,"-1","0","1","detected","ms"
"sigma.psi.yr",0.109,0.046,0.189,1.13,0.2,"-1","0","1","detected","ms"
"mu.p",-0.186,-0.315,-0.046,1.19,-0.5,"-1","0","1","detected","ms"
"sigma.p.sp",0.431,0.347,0.517,1.001,NA,"-1","0","1","detected","ms"
"p.yr",-0.498,-0.602,-0.401,1.223,-1,"-1","0","1","detected","ms"
"sigma.p.site",1.146,1.11,1.192,1.023,1.5,"-1","0","1","detected","ms"
"per_chage_bci",-5.89273192484616,-10.0519154566142,-1.29288370124439,NA,0,"-1","0","1","detected","ms"
"mu.psi",-0.007,-0.15,0.145,1.177,0,"0","-0.5","1","detected","ms"
"sigma.psi.sp",0.606,0.497,0.725,1.008,0.5,"0","-0.5","1","detected","ms"
"mu.psi.yr",-0.049,-0.145,0.062,1.053,0,"0","-0.5","1","detected","ms"
"sigma.psi.yr",0.208,0.13,0.29,1.01,0.2,"0","-0.5","1","detected","ms"
"mu.p",-0.256,-0.393,-0.088,1.006,-0.5,"0","-0.5","1","detected","ms"
"sigma.p.sp",0.522,0.433,0.642,1.012,NA,"0","-0.5","1","detected","ms"
"p.yr",0.079,-0.048,0.219,1.018,0,"0","-0.5","1","detected","ms"
"sigma.p.site",1.153,1.103,1.198,1.001,1.5,"0","-0.5","1","detected","ms"
"per_chage_bci",-2.41767626178186,-7.12882178177018,3.31665996903784,NA,0,"0","-0.5","1","detected","ms"
"mu.psi",0,-0.12,0.117,1.157,0,"0.5","-0.5","1","detected","ms"
"sigma.psi.sp",0.501,0.418,0.613,1.027,0.5,"0.5","-0.5","1","detected","ms"
"mu.psi.yr",-0.015,-0.092,0.065,1,0,"0.5","-0.5","1","detected","ms"
"sigma.psi.yr",0.204,0.138,0.288,1.015,0.2,"0.5","-0.5","1","detected","ms"
"mu.p",-0.129,-0.293,0.045,1.252,-0.5,"0.5","-0.5","1","detected","ms"
"sigma.p.sp",0.517,0.428,0.627,1.009,NA,"0.5","-0.5","1","detected","ms"
"p.yr",0.254,0.133,0.361,1.073,0.5,"0.5","-0.5","1","detected","ms"
"sigma.p.site",1.202,1.15,1.247,1.002,1.5,"0.5","-0.5","1","detected","ms"
"per_chage_bci",-0.715891539583462,-4.60115296740039,3.43313857569566,NA,0,"0.5","-0.5","1","detected","ms"
"mu.psi",0.039,-0.058,0.136,1.065,0,"1","-0.5","1","detected","ms"
"sigma.psi.sp",0.464,0.387,0.566,1.033,0.5,"1","-0.5","1","detected","ms"
"mu.psi.yr",-0.001,-0.092,0.082,1.019,0,"1","-0.5","1","detected","ms"
"sigma.psi.yr",0.227,0.16,0.301,1.023,0.2,"1","-0.5","1","detected","ms"
"mu.p",-0.213,-0.356,-0.081,1.036,-0.5,"1","-0.5","1","detected","ms"
"sigma.p.sp",0.62,0.509,0.75,1.001,NA,"1","-0.5","1","detected","ms"
"p.yr",0.747,0.64,0.867,1.053,1,"1","-0.5","1","detected","ms"
"sigma.p.site",1.25,1.205,1.303,1.004,1.5,"1","-0.5","1","detected","ms"
"per_chage_bci",-0.0578028109715575,-4.47737263295798,4.1293150616616,NA,0,"1","-0.5","1","detected","ms"
"mu.psi",-0.046,-0.224,0.097,1.401,0,"1","0","1","detected","ms"
"sigma.psi.sp",0.538,0.45,0.634,1.005,0.5,"1","0","1","detected","ms"
"mu.psi.yr",0.053,-0.041,0.137,1.012,0,"1","0","1","detected","ms"
"sigma.psi.yr",0.238,0.172,0.315,1.002,0.2,"1","0","1","detected","ms"
"mu.p",-0.112,-0.223,0.025,1.238,-0.5,"1","0","1","detected","ms"
"sigma.p.sp",0.494,0.411,0.609,1.007,NA,"1","0","1","detected","ms"
"p.yr",0.82,0.706,0.931,1.074,1,"1","0","1","detected","ms"
"sigma.p.site",1.303,1.257,1.35,0.999,1.5,"1","0","1","detected","ms"
"per_chage_bci",2.73040373870325,-2.07384312935073,7.03958621063715,NA,0,"1","0","1","detected","ms"
"mu.psi",-0.079,-0.26,0.041,1.217,0,"-0.5","-0.5","10","detected","ms"
"sigma.psi.sp",0.543,0.439,0.675,1.005,0.5,"-0.5","-0.5","10","detected","ms"
"mu.psi.yr",-0.072,-0.136,0.028,1.594,0,"-0.5","-0.5","10","detected","ms"
"sigma.psi.yr",0.093,0.001,0.224,4.398,0.2,"-0.5","-0.5","10","detected","ms"
"mu.p",-0.204,-0.363,-0.046,1.124,-0.5,"-0.5","-0.5","10","detected","ms"
"sigma.p.sp",0.57,0.482,0.677,1.008,NA,"-0.5","-0.5","10","detected","ms"
"p.yr",-0.363,-0.504,-0.249,1.218,-0.5,"-0.5","-0.5","10","detected","ms"
"sigma.p.site",1.11,1.067,1.157,1.026,1.5,"-0.5","-0.5","10","detected","ms"
"per_chage_bci",-3.75983007388862,-6.99072591483692,1.46975715490115,NA,0,"-0.5","-0.5","10","detected","ms"
"mu.psi",0.042,-0.112,0.248,1.329,0,"-0.5","0","10","detected","ms"
"sigma.psi.sp",0.591,0.497,0.728,1.039,0.5,"-0.5","0","10","detected","ms"
"mu.psi.yr",0.031,-0.034,0.121,1.096,0,"-0.5","0","10","detected","ms"
"sigma.psi.yr",0.111,0.004,0.219,2.748,0.2,"-0.5","0","10","detected","ms"
"mu.p",-0.243,-0.391,-0.126,1.084,-0.5,"-0.5","0","10","detected","ms"
"sigma.p.sp",0.488,0.413,0.597,1.006,NA,"-0.5","0","10","detected","ms"
"p.yr",-0.362,-0.463,-0.259,1.097,-0.5,"-0.5","0","10","detected","ms"
"sigma.p.site",1.123,1.079,1.159,1.009,1.5,"-0.5","0","10","detected","ms"
"per_chage_bci",1.49789796962729,-1.79141284184486,6.06883931445688,NA,0,"-0.5","0","10","detected","ms"
"mu.psi",0.08,-0.086,0.256,1.739,0,"-1","-0.5","10","detected","ms"
"sigma.psi.sp",0.604,0.508,0.745,1.03,0.5,"-1","-0.5","10","detected","ms"
