"mean","se","p.yr","mu.psi","r","case","actual","mean.actual","se.actual"
-11.0625814235708,2.05182786968269,"-0.5","0","1","all",0,1.56942634958824,1.34165062964341
-25.6042550010238,1.28209881455713,"-1","0","1","all",0,-0.787411160075169,1.26790718028321
-2.48876276349634,1.98183442707686,"0","0","1","all",0,-1.82309662107652,1.26615123915741
8.37507830861216,2.05437125338656,"0.5","0","1","all",0,-0.542472427639597,1.30768988476244
25.8468347566804,2.23865910299701,"1","0","1","all",0,1.65181911083737,1.28470043757559
-12.3999176199221,1.55413390315523,"-0.5","0","10","all",0,-0.545743726398417,1.26870618883902
-25.2540036159827,1.27608596954682,"-1","0","10","all",0,1.56017630577976,0.982347156247913
-3.06091922935951,1.64059466777602,"0","0","10","all",0,-0.450390832497912,1.17816277467776
14.7619902688207,1.94241819667826,"0.5","0","10","all",0,0.177246899461657,1.2773563085404
29.0794109751802,2.17419502603459,"1","0","10","all",0,0.753885889217768,1.19091718876598
-17.9289736428775,1.57743131011589,"-0.5","0","2","all",0,-1.78285377326522,1.34318917329548
-29.0446559125816,1.78021491661046,"-1","0","2","all",0,-3.22083509912874,1.44454535970679
-3.7300450316045,1.88949416497125,"0","0","2","all",0,-0.388688551082358,1.41263237973183
10.404298620063,1.72435981766071,"0.5","0","2","all",0,-1.55055015359332,1.20348660607919
23.3474530183275,2.00487631897336,"1","0","2","all",0,0.166395681874067,1.1933833804769
-15.4510884938722,1.70477237968837,"-0.5","0","3","all",0,-1.30546365929501,1.4903060044415
-30.5226555982978,1.54728534464353,"-1","0","3","all",0,-1.6275574558734,1.20055165728134
4.04605677778477,1.87628214992724,"0","0","3","all",0,0.50695941867304,1.49330685097723
9.31004366542048,2.11422882759006,"0.5","0","3","all",0,0.25266552582165,1.12503784218739
25.9846320326225,2.18123479254103,"1","0","3","all",0,1.14438228948571,1.1026882452708
-13.6265260278972,1.58044689695198,"-0.5","0","4","all",0,1.3672933847966,1.27187280903916
-28.1041810054043,1.26159827232781,"-1","0","4","all",0,0.370502583202519,1.23899935968666
-2.24362669435821,1.96458094880886,"0","0","4","all",0,-1.08176771005779,1.36505644122772
13.1806369351209,1.66470542202244,"0.5","0","4","all",0,-0.53903933709417,1.05625706312801
22.5013043057025,2.06427703102516,"1","0","4","all",0,0.863225999380109,1.34247807779943
-11.2175610301957,1.57396368244237,"-0.5","0","5","all",0,0.310628893260382,1.14127578503234
-27.3847635613448,1.46147757909851,"-1","0","5","all",0,-0.162272087437362,0.99149857898965
1.05548588404586,1.7919069762357,"0","0","5","all",0,-1.65742994365124,1.23037317403007
11.5143832794492,2.27628413785269,"0.5","0","5","all",0,0.870278799615564,1.02992398481355
21.2224948294004,2.15172773056572,"1","0","5","all",0,-1.32247683353658,1.23025420792141
-12.969624149928,1.44489773160043,"-0.5","0","6","all",0,4.85644693953287,1.29242603779856
-26.3981945828568,1.45464453195443,"-1","0","6","all",0,-0.110332157712285,1.2587852926725
-0.763809877543143,1.86242922684733,"0","0","6","all",0,0.312675304959238,1.08022871694755
14.1583476964076,2.15975834864494,"0.5","0","6","all",0,-0.231287676602005,1.21672168439614
27.6416781621477,1.98456357571674,"1","0","6","all",0,1.20016426870101,1.03257681865146
-14.0104968864916,1.34124201945465,"-0.5","0","7","all",0,1.66833099312836,1.14640264602222
-23.1814438307864,1.61536212365462,"-1","0","7","all",0,-0.428297863853717,1.39036861671241
-0.310531785274298,2.01725865636797,"0","0","7","all",0,1.06772352866396,1.5488316665733
5.64130273914855,1.72326382168922,"0.5","0","7","all",0,-1.1196982364282,1.09252380851459
23.1457430759545,1.98970273865934,"1","0","7","all",0,0.272783033324515,1.23623718972674
-12.3924546657395,1.47074355533849,"-0.5","0","8","all",0,0.442265911236298,1.27218878554719
-29.2943493392059,1.464545459423,"-1","0","8","all",0,0.518024402587432,1.49513881859279
1.83687240271389,1.82869762137413,"0","0","8","all",0,0.180457015124794,1.37887148336094
13.4106652336456,1.78547862216232,"0.5","0","8","all",0,-0.168119277904328,1.41381760376636
20.3553093157832,2.26371968437518,"1","0","8","all",0,-2.50792858420127,1.34208706733653
-11.8336838438175,1.56591533365763,"-0.5","0","9","all",0,0.379520042546279,1.1534164876584
-28.7653201194041,1.63393262353655,"-1","0","9","all",0,-0.225050364820384,1.25453759026568
0.932996535216075,1.85512086725968,"0","0","9","all",0,0.271183766359033,1.25532689372903
12.3427205597002,1.93800190870203,"0.5","0","9","all",0,0.176683231141146,1.11537146095465
21.6579575274878,2.30447661131037,"1","0","9","all",0,-0.403580493259556,1.13983189781389
