"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"mu.p",-2.147,-2.24,-2.04,1.154,-0.5,"0.5","-0.5","1","all","ms"
"sigma.p.sp",0.313,0.255,0.377,1.003,NA,"0.5","-0.5","1","all","ms"
"p.yr",-0.883,-0.999,-0.769,1.106,-0.5,"0.5","-0.5","1","all","ms"
"sigma.p.site",1.572,1.523,1.625,1,1.5,"0.5","-0.5","1","all","ms"
"per_chage_bci",28.1145169795508,21.7941421933392,36.1357381496785,NA,24.4918662403709,"0.5","-0.5","1","all","ms"
"mu.psi",0.642,0.507,0.78,1.047,0,"0.5","0","1","all","ms"
"sigma.psi.sp",0.809,0.657,1.01,1.051,0.5,"0.5","0","1","all","ms"
"mu.psi.yr",0.572,0.446,0.713,1.063,0.5,"0.5","0","1","all","ms"
"sigma.psi.yr",0.32,0.196,0.443,1.016,0.2,"0.5","0","1","all","ms"
"mu.p",-2.075,-2.244,-1.98,1.134,-0.5,"0.5","0","1","all","ms"
"sigma.p.sp",0.303,0.238,0.371,1.032,NA,"0.5","0","1","all","ms"
"p.yr",-0.372,-0.468,-0.277,1.003,-0.5,"0.5","0","1","all","ms"
"sigma.p.site",1.486,1.439,1.529,1.014,1.5,"0.5","0","1","all","ms"
"per_chage_bci",17.6795661836459,13.7083897320184,21.9585471777286,NA,24.4918662403709,"0.5","0","1","all","ms"
"mu.psi",0.597,0.475,0.738,1.052,0,"1","-0.5","1","all","ms"
"sigma.psi.sp",0.496,0.399,0.623,1.027,0.5,"1","-0.5","1","all","ms"
"mu.psi.yr",1.927,1.596,2.234,1.009,1,"1","-0.5","1","all","ms"
"sigma.psi.yr",0.729,0.499,0.99,1.102,0.2,"1","-0.5","1","all","ms"
"mu.p",-2.259,-2.39,-2.135,1.23,-0.5,"1","-0.5","1","all","ms"
"sigma.p.sp",0.386,0.322,0.463,1.005,NA,"1","-0.5","1","all","ms"
"p.yr",-0.813,-0.921,-0.701,1.131,-0.5,"1","-0.5","1","all","ms"
