"var.names","mean","2.5%","97.5%","Rhat","actual.val","mu.psi.yr","mu.v.yr","r","case","sp"
"mu.psi.yr",0.09,-0.014,0.212,1.086,0,"0","0","7","all","ms"
"sigma.psi.yr",0.208,0.104,0.318,1.028,0.2,"0","0","7","all","ms"
"mu.p",-2.135,-2.242,-2.033,1.137,-0.5,"0","0","7","all","ms"
"sigma.p.sp",0.317,0.262,0.391,1.007,NA,"0","0","7","all","ms"
"p.yr",-0.447,-0.575,-0.314,1.291,-0.5,"0","0","7","all","ms"
"sigma.p.site",1.501,1.451,1.551,1.002,1.5,"0","0","7","all","ms"
"per_chage_bci",3.58074827497355,-0.557544637042756,8.77421062586153,NA,0,"0","0","7","all","ms"
"mu.psi",0.611,0.444,0.75,1.018,0,"0.5","-0.5","7","all","ms"
"sigma.psi.sp",0.648,0.515,0.81,1.002,0.5,"0.5","-0.5","7","all","ms"
"mu.psi.yr",0.959,0.748,1.206,1.059,0.5,"0.5","-0.5","7","all","ms"
"sigma.psi.yr",0.511,0.351,0.702,1.148,0.2,"0.5","-0.5","7","all","ms"
"mu.p",-2.273,-2.382,-2.173,1.066,-0.5,"0.5","-0.5","7","all","ms"
"sigma.p.sp",0.343,0.275,0.434,1.001,NA,"0.5","-0.5","7","all","ms"
"p.yr",-0.746,-0.855,-0.63,1.075,-0.5,"0.5","-0.5","7","all","ms"
"sigma.p.site",1.599,1.546,1.659,1.002,1.5,"0.5","-0.5","7","all","ms"
"per_chage_bci",27.7340835027577,21.7102132061375,34.8488604631505,NA,24.4918662403709,"0.5","-0.5","7","all","ms"
"mu.psi",0.491,0.294,0.671,1.771,0,"0.5","0","7","all","ms"
"sigma.psi.sp",0.65,0.521,0.818,1.005,0.5,"0.5","0","7","all","ms"
"mu.psi.yr",0.714,0.581,0.862,1.106,0.5,"0.5","0","7","all","ms"
"sigma.psi.yr",0.349,0.247,0.462,1.017,0.2,"0.5","0","7","all","ms"
"mu.p",-2.129,-2.237,-2.005,1.106,-0.5,"0.5","0","7","all","ms"
"sigma.p.sp",0.295,0.241,0.37,1.008,NA,"0.5","0","7","all","ms"
"p.yr",-0.364,-0.477,-0.253,1.201,-0.5,"0.5","0","7","all","ms"
"sigma.p.site",1.508,1.463,1.555,1.013,1.5,"0.5","0","7","all","ms"
"per_chage_bci",24.0863721792188,18.8514289734818,30.8586911169565,NA,24.4918662403709,"0.5","0","7","all","ms"
"mu.psi",0.506,0.352,0.635,1.024,0,"1","-0.5","7","all","ms"
"sigma.psi.sp",0.628,0.5,0.773,1.025,0.5,"1","-0.5","7","all","ms"
"mu.psi.yr",1.802,1.549,2.095,1.048,1,"1","-0.5","7","all","ms"
"sigma.psi.yr",0.539,0.256,0.803,1.111,0.2,"1","-0.5","7","all","ms"
"mu.p",-2.251,-2.363,-2.137,1.073,-0.5,"1","-0.5","7","all","ms"
"sigma.p.sp",0.299,0.244,0.363,1.008,NA,"1","-0.5","7","all","ms"
"p.yr",-0.856,-0.977,-0.752,1.017,-0.5,"1","-0.5","7","all","ms"
"sigma.p.site",1.612,1.554,1.663,1.001,1.5,"1","-0.5","7","all","ms"
"per_chage_bci",45.7487598365059,38.9475450776353,53.5939788930183,NA,46.211715726001,"1","-0.5","7","all","ms"
"mu.psi",0.422,0.27,0.596,1.125,0,"1","0","7","all","ms"
"sigma.psi.sp",0.604,0.496,0.735,1.016,0.5,"1","0","7","all","ms"
"mu.psi.yr",1.358,1.203,1.528,1.011,1,"1","0","7","all","ms"
"sigma.psi.yr",0.37,0.228,0.533,1.056,0.2,"1","0","7","all","ms"
"mu.p",-2.223,-2.364,-2.111,1.086,-0.5,"1","0","7","all","ms"
"sigma.p.sp",0.315,0.261,0.391,0.997,NA,"1","0","7","all","ms"
"p.yr",-0.276,-0.389,-0.168,1.093,-0.5,"1","0","7","all","ms"
"sigma.p.site",1.561,1.511,1.609,0.997,1.5,"1","0","7","all","ms"
"per_chage_bci",41.730329770198,33.7431286031981,47.9508189676761,NA,46.211715726001,"1","0","7","all","ms"
"mu.psi",0.486,0.388,0.611,1.52,0,"-0.5","-0.5","8","all","ms"
"sigma.psi.sp",0.616,0.505,0.768,1.01,0.5,"-0.5","-0.5","8","all","ms"
"mu.psi.yr",-0.371,-0.503,-0.238,1.072,-0.5,"-0.5","-0.5","8","all","ms"
"sigma.psi.yr",0.358,0.255,0.482,1.046,0.2,"-0.5","-0.5","8","all","ms"
"mu.p",-2.287,-2.42,-2.145,1.401,-0.5,"-0.5","-0.5","8","all","ms"
"sigma.p.sp",0.338,0.27,0.425,1.026,NA,"-0.5","-0.5","8","all","ms"
"p.yr",-0.866,-0.996,-0.747,1.115,-0.5,"-0.5","-0.5","8","all","ms"
"sigma.p.site",1.573,1.522,1.629,1.021,1.5,"-0.5","-0.5","8","all","ms"
"per_chage_bci",-14.6099354807724,-19.7307444854999,-9.46247367341488,NA,-24.4918662403709,"-0.5","-0.5","8","all","ms"
"mu.psi",0.422,0.28,0.567,1.292,0,"-0.5","0","8","all","ms"
"sigma.psi.sp",0.565,0.465,0.679,1.019,0.5,"-0.5","0","8","all","ms"
"mu.psi.yr",-0.657,-0.761,-0.539,1.023,-0.5,"-0.5","0","8","all","ms"
"sigma.psi.yr",0.216,0.13,0.293,1.007,0.2,"-0.5","0","8","all","ms"
"mu.p",-2.113,-2.222,-2.001,1.087,-0.5,"-0.5","0","8","all","ms"
"sigma.p.sp",0.317,0.258,0.387,1.006,NA,"-0.5","0","8","all","ms"
"p.yr",-0.336,-0.438,-0.195,1.036,-0.5,"-0.5","0","8","all","ms"
"sigma.p.site",1.495,1.442,1.554,1.011,1.5,"-0.5","0","8","all","ms"
"per_chage_bci",-26.8909828246234,-31.7534882122786,-22.4224135469373,NA,-24.4918662403709,"-0.5","0","8","all","ms"
"mu.psi",0.493,0.232,0.655,1.466,0,"-1","-0.5","8","all","ms"
"sigma.psi.sp",0.693,0.567,0.864,1.003,0.5,"-1","-0.5","8","all","ms"
"mu.psi.yr",-0.808,-0.931,-0.646,1.074,-1,"-1","-0.5","8","all","ms"
"sigma.psi.yr",0.137,0.036,0.243,1.253,0.2,"-1","-0.5","8","all","ms"
"mu.p",-2.08,-2.186,-1.975,1.278,-0.5,"-1","-0.5","8","all","ms"
"sigma.p.sp",0.286,0.23,0.344,1,NA,"-1","-0.5","8","all","ms"
"p.yr",-1.082,-1.237,-0.919,1.131,-0.5,"-1","-0.5","8","all","ms"
"sigma.p.site",1.479,1.423,1.53,1.01,1.5,"-1","-0.5","8","all","ms"
"per_chage_bci",-32.0067274335918,-36.9975569710236,-25.995539670834,NA,-46.211715726001,"-1","-0.5","8","all","ms"
"mu.psi",0.523,0.376,0.631,1.177,0,"-1","0","8","all","ms"
"sigma.psi.sp",0.618,0.509,0.757,1.011,0.5,"-1","0","8","all","ms"
"mu.psi.yr",-1.026,-1.123,-0.922,1.145,-1,"-1","0","8","all","ms"
"sigma.psi.yr",0.203,0.133,0.295,1.043,0.2,"-1","0","8","all","ms"
"mu.p",-2.223,-2.354,-2.1,1.018,-0.5,"-1","0","8","all","ms"
"sigma.p.sp",0.354,0.286,0.433,1.005,NA,"-1","0","8","all","ms"
"p.yr",-0.443,-0.555,-0.306,0.998,-0.5,"-1","0","8","all","ms"
"sigma.p.site",1.5,1.448,1.557,1.002,1.5,"-1","0","8","all","ms"
"per_chage_bci",-39.964977448515,-43.8346480035432,-35.2920277017323,NA,-46.211715726001,"-1","0","8","all","ms"
"mu.psi",0.399,0.237,0.589,1.329,0,"0","-0.5","8","all","ms"
"sigma.psi.sp",0.68,0.561,0.825,1.007,0.5,"0","-0.5","8","all","ms"
"mu.psi.yr",0.53,0.31,0.714,1.013,0,"0","-0.5","8","all","ms"
"sigma.psi.yr",0.327,0.194,0.498,1.016,0.2,"0","-0.5","8","all","ms"
"mu.p",-2.291,-2.414,-2.167,1.031,-0.5,"0","-0.5","8","all","ms"
"sigma.p.sp",0.281,0.227,0.352,1.004,NA,"0","-0.5","8","all","ms"
"p.yr",-0.989,-1.123,-0.862,1.034,-0.5,"0","-0.5","8","all","ms"
"sigma.p.site",1.527,1.48,1.58,1.018,1.5,"0","-0.5","8","all","ms"
"per_chage_bci",19.7997750994491,11.8573505492106,27.4613008040517,NA,0,"0","-0.5","8","all","ms"
"mu.psi",0.517,0.28,0.728,1.401,0,"0","0","8","all","ms"
"sigma.psi.sp",0.659,0.537,0.796,1.016,0.5,"0","0","8","all","ms"
"mu.psi.yr",-0.065,-0.165,0.037,1.029,0,"0","0","8","all","ms"
"sigma.psi.yr",0.186,0.1,0.296,1.124,0.2,"0","0","8","all","ms"
"mu.p",-2.167,-2.275,-2.07,1.055,-0.5,"0","0","8","all","ms"
"sigma.p.sp",0.321,0.255,0.392,1.011,NA,"0","0","8","all","ms"
"p.yr",-0.306,-0.407,-0.199,1.008,-0.5,"0","0","8","all","ms"
"sigma.p.site",1.508,1.46,1.561,0.998,1.5,"0","0","8","all","ms"
"per_chage_bci",-2.40178628414524,-5.8541010674792,1.38543511636568,NA,0,"0","0","8","all","ms"
"mu.psi",0.487,0.352,0.608,1.036,0,"0.5","-0.5","8","all","ms"
"sigma.psi.sp",0.591,0.476,0.724,1.003,0.5,"0.5","-0.5","8","all","ms"
"mu.psi.yr",1.096,0.919,1.281,1.093,0.5,"0.5","-0.5","8","all","ms"
"sigma.psi.yr",0.35,0.192,0.56,1,0.2,"0.5","-0.5","8","all","ms"
"mu.p",-2.203,-2.312,-2.115,1.058,-0.5,"0.5","-0.5","8","all","ms"
"sigma.p.sp",0.339,0.281,0.407,0.999,NA,"0.5","-0.5","8","all","ms"
"p.yr",-0.918,-1.027,-0.79,1.011,-0.5,"0.5","-0.5","8","all","ms"
"sigma.p.site",1.583,1.531,1.639,0.999,1.5,"0.5","-0.5","8","all","ms"
"per_chage_bci",33.9094616304019,29.2876458358897,40.7345378012918,NA,24.4918662403709,"0.5","-0.5","8","all","ms"
"mu.psi",0.418,0.315,0.515,1.038,0,"0.5","0","8","all","ms"
"sigma.psi.sp",0.553,0.448,0.664,0.998,0.5,"0.5","0","8","all","ms"
"mu.psi.yr",0.647,0.518,0.803,1,0.5,"0.5","0","8","all","ms"
"sigma.psi.yr",0.327,0.218,0.446,1.008,0.2,"0.5","0","8","all","ms"
"mu.p",-2.114,-2.225,-1.961,1.199,-0.5,"0.5","0","8","all","ms"
"sigma.p.sp",0.351,0.289,0.432,0.999,NA,"0.5","0","8","all","ms"
"p.yr",-0.368,-0.47,-0.255,1.061,-0.5,"0.5","0","8","all","ms"
"sigma.p.site",1.521,1.475,1.568,1.034,1.5,"0.5","0","8","all","ms"
"per_chage_bci",23.3129143711813,18.9766050462844,28.4418938566222,NA,24.4918662403709,"0.5","0","8","all","ms"
"mu.psi",0.553,0.372,0.672,1.104,0,"1","-0.5","8","all","ms"
"sigma.psi.sp",0.647,0.535,0.792,1.021,0.5,"1","-0.5","8","all","ms"
"mu.psi.yr",1.649,1.429,1.901,1.004,1,"1","-0.5","8","all","ms"
"sigma.psi.yr",0.388,0.168,0.683,1.075,0.2,"1","-0.5","8","all","ms"
"mu.p",-2.165,-2.277,-2.053,1.11,-0.5,"1","-0.5","8","all","ms"
"sigma.p.sp",0.345,0.283,0.428,1.018,NA,"1","-0.5","8","all","ms"
"p.yr",-0.854,-0.979,-0.727,1.088,-0.5,"1","-0.5","8","all","ms"
"sigma.p.site",1.615,1.564,1.674,1.003,1.5,"1","-0.5","8","all","ms"
"per_chage_bci",41.8382660860093,35.7025167007813,50.4204360764076,NA,46.211715726001,"1","-0.5","8","all","ms"
"mu.psi",0.254,0.106,0.44,1.064,0,"1","0","8","all","ms"
"sigma.psi.sp",0.553,0.465,0.67,0.997,0.5,"1","0","8","all","ms"
"mu.psi.yr",1.205,1.056,1.359,1.084,1,"1","0","8","all","ms"
"sigma.psi.yr",0.265,0.107,0.428,1.153,0.2,"1","0","8","all","ms"
"mu.p",-2.114,-2.226,-2.02,1.249,-0.5,"1","0","8","all","ms"
"sigma.p.sp",0.358,0.3,0.427,0.996,NA,"1","0","8","all","ms"
"p.yr",-0.385,-0.473,-0.291,1.046,-0.5,"1","0","8","all","ms"
"sigma.p.site",1.478,1.438,1.526,1.003,1.5,"1","0","8","all","ms"
"per_chage_bci",44.1476548198011,36.8452098257029,52.2641170343801,NA,46.211715726001,"1","0","8","all","ms"
"mu.psi",0.541,0.397,0.676,1.041,0,"-0.5","-0.5","9","all","ms"
"sigma.psi.sp",0.599,0.48,0.742,1.022,0.5,"-0.5","-0.5","9","all","ms"
"mu.psi.yr",-0.491,-0.619,-0.347,1.043,-0.5,"-0.5","-0.5","9","all","ms"
"sigma.psi.yr",0.258,0.16,0.395,1.031,0.2,"-0.5","-0.5","9","all","ms"
"mu.p",-2.27,-2.383,-2.146,1.112,-0.5,"-0.5","-0.5","9","all","ms"
"sigma.p.sp",0.284,0.233,0.348,1.021,NA,"-0.5","-0.5","9","all","ms"
"p.yr",-0.85,-0.977,-0.715,1.088,-0.5,"-0.5","-0.5","9","all","ms"
"sigma.p.site",1.544,1.495,1.6,0.998,1.5,"-0.5","-0.5","9","all","ms"
"per_chage_bci",-18.9183091952302,-23.8960459863335,-13.4798697474882,NA,-24.4918662403709,"-0.5","-0.5","9","all","ms"
"mu.psi",0.557,0.464,0.68,1.196,0,"-0.5","0","9","all","ms"
"sigma.psi.sp",0.485,0.384,0.592,1.005,0.5,"-0.5","0","9","all","ms"
"mu.psi.yr",-0.616,-0.716,-0.51,1.06,-0.5,"-0.5","0","9","all","ms"
"sigma.psi.yr",0.212,0.113,0.301,1.019,0.2,"-0.5","0","9","all","ms"
"mu.p",-2.117,-2.195,-2.015,1.153,-0.5,"-0.5","0","9","all","ms"
"sigma.p.sp",0.242,0.195,0.296,1.001,NA,"-0.5","0","9","all","ms"
"p.yr",-0.349,-0.46,-0.254,1.026,-0.5,"-0.5","0","9","all","ms"
"sigma.p.site",1.472,1.413,1.526,1,1.5,"-0.5","0","9","all","ms"
"per_chage_bci",-23.6764467829912,-27.5051666454711,-19.5747775497528,NA,-24.4918662403709,"-0.5","0","9","all","ms"
"mu.psi",0.648,0.512,0.781,1.066,0,"-1","-0.5","9","all","ms"
"sigma.psi.sp",0.584,0.485,0.725,1.004,0.5,"-1","-0.5","9","all","ms"
"mu.psi.yr",-0.986,-1.118,-0.858,1.006,-1,"-1","-0.5","9","all","ms"
"sigma.psi.yr",0.314,0.203,0.439,0.998,0.2,"-1","-0.5","9","all","ms"
"mu.p",-2.187,-2.282,-2.08,1.023,-0.5,"-1","-0.5","9","all","ms"
"sigma.p.sp",0.305,0.245,0.375,1.018,NA,"-1","-0.5","9","all","ms"
"p.yr",-0.931,-1.035,-0.816,1.052,-0.5,"-1","-0.5","9","all","ms"
"sigma.p.site",1.51,1.459,1.563,1.001,1.5,"-1","-0.5","9","all","ms"
"per_chage_bci",-36.5603049759982,-41.6641041430094,-31.7339944664712,NA,-46.211715726001,"-1","-0.5","9","all","ms"
"mu.psi",0.393,0.25,0.531,1.089,0,"-1","0","9","all","ms"
"sigma.psi.sp",0.627,0.506,0.774,0.999,0.5,"-1","0","9","all","ms"
"mu.psi.yr",-1.191,-1.301,-1.076,1.038,-1,"-1","0","9","all","ms"
"sigma.psi.yr",0.223,0.131,0.321,1.032,0.2,"-1","0","9","all","ms"
"mu.p",-2.189,-2.299,-2.072,1.027,-0.5,"-1","0","9","all","ms"
"sigma.p.sp",0.355,0.284,0.43,1.002,NA,"-1","0","9","all","ms"
"p.yr",-0.342,-0.453,-0.223,1.022,-0.5,"-1","0","9","all","ms"
"sigma.p.site",1.476,1.427,1.529,1.02,1.5,"-1","0","9","all","ms"
"per_chage_bci",-47.9507819843626,-51.9013988206729,-43.7447416664524,NA,-46.211715726001,"-1","0","9","all","ms"
"mu.psi",0.5,0.363,0.625,1.053,0,"0","-0.5","9","all","ms"
"sigma.psi.sp",0.633,0.528,0.772,1.021,0.5,"0","-0.5","9","all","ms"
"mu.psi.yr",0.272,0.113,0.446,1.024,0,"0","-0.5","9","all","ms"
"sigma.psi.yr",0.383,0.265,0.513,1.007,0.2,"0","-0.5","9","all","ms"
"mu.p",-2.17,-2.261,-2.061,1.182,-0.5,"0","-0.5","9","all","ms"
"sigma.p.sp",0.271,0.215,0.338,1.015,NA,"0","-0.5","9","all","ms"
"p.yr",-1.014,-1.145,-0.889,1.136,-0.5,"0","-0.5","9","all","ms"
"sigma.p.site",1.611,1.554,1.67,1.014,1.5,"0","-0.5","9","all","ms"
"per_chage_bci",9.86961130368608,4.09658197595955,16.4082793441391,NA,0,"0","-0.5","9","all","ms"
"mu.psi",0.387,0.262,0.514,1.435,0,"0","0","9","all","ms"
"sigma.psi.sp",0.695,0.587,0.839,1.007,0.5,"0","0","9","all","ms"
"mu.psi.yr",0.019,-0.086,0.138,1.025,0,"0","0","9","all","ms"
"sigma.psi.yr",0.231,0.149,0.325,1.024,0.2,"0","0","9","all","ms"
"mu.p",-2.14,-2.225,-2.032,1.002,-0.5,"0","0","9","all","ms"
"sigma.p.sp",0.331,0.268,0.405,1.005,NA,"0","0","9","all","ms"
"p.yr",-0.345,-0.46,-0.228,1.031,-0.5,"0","0","9","all","ms"
"sigma.p.site",1.467,1.419,1.52,1.02,1.5,"0","0","9","all","ms"
"per_chage_bci",0.757073120523927,-3.40202779295301,5.60793916042179,NA,0,"0","0","9","all","ms"
"mu.psi",0.414,0.243,0.557,1.314,0,"0.5","-0.5","9","all","ms"
"sigma.psi.sp",0.65,0.527,0.809,1.023,0.5,"0.5","-0.5","9","all","ms"
"mu.psi.yr",1.006,0.892,1.159,1.038,0.5,"0.5","-0.5","9","all","ms"
"sigma.psi.yr",0.236,0.093,0.402,1.08,0.2,"0.5","-0.5","9","all","ms"
"mu.p",-2.057,-2.189,-1.952,1.109,-0.5,"0.5","-0.5","9","all","ms"
"sigma.p.sp",0.299,0.243,0.365,1.002,NA,"0.5","-0.5","9","all","ms"
"p.yr",-0.91,-0.999,-0.805,1.099,-0.5,"0.5","-0.5","9","all","ms"
"sigma.p.site",1.566,1.518,1.619,1.002,1.5,"0.5","-0.5","9","all","ms"
"per_chage_bci",33.7824265355223,28.545980450296,39.7637835915646,NA,24.4918662403709,"0.5","-0.5","9","all","ms"
"mu.psi",0.576,0.452,0.707,1.054,0,"0.5","0","9","all","ms"
"sigma.psi.sp",0.661,0.536,0.811,1.003,0.5,"0.5","0","9","all","ms"
"mu.psi.yr",0.602,0.472,0.76,1.113,0.5,"0.5","0","9","all","ms"
"sigma.psi.yr",0.243,0.145,0.378,1.111,0.2,"0.5","0","9","all","ms"
"mu.p",-2.273,-2.4,-2.16,1.277,-0.5,"0.5","0","9","all","ms"
"sigma.p.sp",0.373,0.307,0.459,1,NA,"0.5","0","9","all","ms"
"p.yr",-0.228,-0.331,-0.116,1.063,-0.5,"0.5","0","9","all","ms"
"sigma.p.site",1.506,1.457,1.556,1.003,1.5,"0.5","0","9","all","ms"
"per_chage_bci",19.4790909128871,14.5803339697392,24.3914699964363,NA,24.4918662403709,"0.5","0","9","all","ms"
"mu.psi",0.556,0.428,0.679,1.097,0,"1","-0.5","9","all","ms"
"sigma.psi.sp",0.517,0.415,0.649,1.034,0.5,"1","-0.5","9","all","ms"
"mu.psi.yr",1.775,1.553,2.079,1.125,1,"1","-0.5","9","all","ms"
"sigma.psi.yr",0.454,0.277,0.687,1.117,0.2,"1","-0.5","9","all","ms"
"mu.p",-2.213,-2.303,-2.119,1.032,-0.5,"1","-0.5","9","all","ms"
"sigma.p.sp",0.313,0.259,0.391,1.002,NA,"1","-0.5","9","all","ms"
"p.yr",-0.703,-0.808,-0.595,1.044,-0.5,"1","-0.5","9","all","ms"
"sigma.p.site",1.595,1.542,1.643,1.01,1.5,"1","-0.5","9","all","ms"
"per_chage_bci",43.3815337992875,37.4778274228991,49.030026991341,NA,46.211715726001,"1","-0.5","9","all","ms"
"mu.psi",0.426,0.228,0.568,1.265,0,"1","0","9","all","ms"
"sigma.psi.sp",0.552,0.443,0.671,1.004,0.5,"1","0","9","all","ms"
"mu.psi.yr",1.449,1.285,1.656,0.998,1,"1","0","9","all","ms"
"sigma.psi.yr",0.46,0.305,0.658,1.013,0.2,"1","0","9","all","ms"
"mu.p",-2.142,-2.254,-2.048,1.048,-0.5,"1","0","9","all","ms"
"sigma.p.sp",0.343,0.278,0.42,1.011,NA,"1","0","9","all","ms"
"p.yr",-0.242,-0.329,-0.133,1.015,-0.5,"1","0","9","all","ms"
"sigma.p.site",1.477,1.43,1.522,0.997,1.5,"1","0","9","all","ms"
"per_chage_bci",43.3403153312358,37.9093644046289,50.192973224349,NA,46.211715726001,"1","0","9","all","ms"
"mu.psi",-0.098,-0.215,0.018,1.025,0,"-0.5","-0.5","1","detected","ms"
"sigma.psi.sp",0.516,0.419,0.628,1.014,0.5,"-0.5","-0.5","1","detected","ms"
"mu.psi.yr",-0.599,-0.709,-0.505,1.005,-0.5,"-0.5","-0.5","1","detected","ms"
"sigma.psi.yr",0.233,0.155,0.327,1.018,0.2,"-0.5","-0.5","1","detected","ms"
"mu.p",-0.141,-0.255,-0.003,1.165,-0.5,"-0.5","-0.5","1","detected","ms"
"sigma.p.sp",0.422,0.344,0.523,1.021,NA,"-0.5","-0.5","1","detected","ms"
"p.yr",-0.182,-0.301,-0.039,1.026,-0.5,"-0.5","-0.5","1","detected","ms"
"sigma.p.site",1.094,1.042,1.149,1.016,1.5,"-0.5","-0.5","1","detected","ms"
"per_chage_bci",-30.0343445647231,-34.8940459054857,-25.5088724829293,NA,-24.4918662403709,"-0.5","-0.5","1","detected","ms"
"mu.psi",-0.003,-0.112,0.11,1.221,0,"-0.5","0","1","detected","ms"
"sigma.psi.sp",0.557,0.46,0.663,1.04,0.5,"-0.5","0","1","detected","ms"
"mu.psi.yr",-0.493,-0.58,-0.408,1.023,-0.5,"-0.5","0","1","detected","ms"
"sigma.psi.yr",0.215,0.14,0.297,1.017,0.2,"-0.5","0","1","detected","ms"
"mu.p",-0.223,-0.376,-0.074,1.081,-0.5,"-0.5","0","1","detected","ms"
"sigma.p.sp",0.516,0.425,0.613,1,NA,"-0.5","0","1","detected","ms"
"p.yr",-0.224,-0.338,-0.107,1.042,-0.5,"-0.5","0","1","detected","ms"
"sigma.p.site",1.075,1.03,1.121,1.01,1.5,"-0.5","0","1","detected","ms"
"per_chage_bci",-24.1746930851494,-28.2346623565596,-20.372592709965,NA,-24.4918662403709,"-0.5","0","1","detected","ms"
"mu.psi",-0.035,-0.172,0.175,1.372,0,"-1","-0.5","1","detected","ms"
"sigma.psi.sp",0.518,0.416,0.655,1.001,0.5,"-1","-0.5","1","detected","ms"
"mu.psi.yr",-1.131,-1.236,-1.035,1.014,-1,"-1","-0.5","1","detected","ms"
"sigma.psi.yr",0.222,0.149,0.321,1.01,0.2,"-1","-0.5","1","detected","ms"
"mu.p",-0.148,-0.258,-0.031,1.179,-0.5,"-1","-0.5","1","detected","ms"
"sigma.p.sp",0.598,0.5,0.713,1.007,NA,"-1","-0.5","1","detected","ms"
"p.yr",0.108,-0.05,0.276,1.009,-0.5,"-1","-0.5","1","detected","ms"
"sigma.p.site",1.107,1.046,1.159,1,1.5,"-1","-0.5","1","detected","ms"
"per_chage_bci",-51.5744222586069,-55.0574752674316,-48.1113971275991,NA,-46.211715726001,"-1","-0.5","1","detected","ms"
"mu.psi",0.109,-0.012,0.235,1.058,0,"-1","0","1","detected","ms"
"sigma.psi.sp",0.468,0.38,0.562,1.034,0.5,"-1","0","1","detected","ms"
"mu.psi.yr",-1.112,-1.195,-1.025,1.031,-1,"-1","0","1","detected","ms"
"sigma.psi.yr",0.175,0.068,0.266,1.067,0.2,"-1","0","1","detected","ms"
"mu.p",-0.184,-0.293,-0.057,1.151,-0.5,"-1","0","1","detected","ms"
"sigma.p.sp",0.433,0.344,0.53,1.001,NA,"-1","0","1","detected","ms"
"p.yr",0.109,-0.027,0.24,1.07,-0.5,"-1","0","1","detected","ms"
"sigma.p.site",1.114,1.065,1.17,0.998,1.5,"-1","0","1","detected","ms"
"per_chage_bci",-49.0612649379137,-52.5699981412468,-45.9858192184779,NA,-46.211715726001,"-1","0","1","detected","ms"
"mu.psi",-0.014,-0.144,0.118,1.066,0,"0","-0.5","1","detected","ms"
"sigma.psi.sp",0.609,0.505,0.73,1,0.5,"0","-0.5","1","detected","ms"
"mu.psi.yr",-0.098,-0.195,0.003,1.028,0,"0","-0.5","1","detected","ms"
"sigma.psi.yr",0.197,0.124,0.286,1.041,0.2,"0","-0.5","1","detected","ms"
"mu.p",-0.254,-0.41,-0.106,1.228,-0.5,"0","-0.5","1","detected","ms"
"sigma.p.sp",0.512,0.408,0.636,1.01,NA,"0","-0.5","1","detected","ms"
"p.yr",-0.233,-0.345,-0.101,1.026,-0.5,"0","-0.5","1","detected","ms"
"sigma.p.site",1.111,1.065,1.163,1.019,1.5,"0","-0.5","1","detected","ms"
"per_chage_bci",-4.92621045832689,-9.5820941553328,0.155367465607153,NA,0,"0","-0.5","1","detected","ms"
"mu.psi",0.042,-0.093,0.173,1.088,0,"0","0","1","detected","ms"
"sigma.psi.sp",0.475,0.391,0.599,1.004,0.5,"0","0","1","detected","ms"
"mu.psi.yr",-0.053,-0.147,0.047,1.008,0,"0","0","1","detected","ms"
"sigma.psi.yr",0.265,0.194,0.352,1.003,0.2,"0","0","1","detected","ms"
"mu.p",-0.184,-0.334,0.042,1.123,-0.5,"0","0","1","detected","ms"
"sigma.p.sp",0.539,0.449,0.646,1.023,NA,"0","0","1","detected","ms"
"p.yr",-0.348,-0.472,-0.233,1.008,-0.5,"0","0","1","detected","ms"
"sigma.p.site",1.148,1.107,1.195,0.999,1.5,"0","0","1","detected","ms"
"per_chage_bci",-2.54877041585129,-7.04391449880023,2.3885426091126,NA,0,"0","0","1","detected","ms"
"mu.psi",-0.007,-0.125,0.138,1.236,0,"0.5","-0.5","1","detected","ms"
"sigma.psi.sp",0.486,0.396,0.578,1.004,0.5,"0.5","-0.5","1","detected","ms"
"mu.psi.yr",0.446,0.345,0.565,1.009,0.5,"0.5","-0.5","1","detected","ms"
"sigma.psi.yr",0.215,0.132,0.301,1.022,0.2,"0.5","-0.5","1","detected","ms"
"mu.p",-0.122,-0.291,0.018,1.2,-0.5,"0.5","-0.5","1","detected","ms"
"sigma.p.sp",0.484,0.399,0.589,1.013,NA,"0.5","-0.5","1","detected","ms"
"p.yr",-0.536,-0.644,-0.434,1.04,-0.5,"0.5","-0.5","1","detected","ms"
"sigma.p.site",1.153,1.108,1.196,1.016,1.5,"0.5","-0.5","1","detected","ms"
"per_chage_bci",22.0174353704857,16.7328535808051,28.0763284517306,NA,24.4918662403709,"0.5","-0.5","1","detected","ms"
"mu.psi",0.093,-0.099,0.279,1.105,0,"0.5","0","1","detected","ms"
"sigma.psi.sp",0.655,0.545,0.781,1.004,0.5,"0.5","0","1","detected","ms"
"mu.psi.yr",0.391,0.302,0.486,1.002,0.5,"0.5","0","1","detected","ms"
"sigma.psi.yr",0.221,0.149,0.301,1.029,0.2,"0.5","0","1","detected","ms"
"mu.p",-0.2,-0.353,-0.06,1.421,-0.5,"0.5","0","1","detected","ms"
"sigma.p.sp",0.471,0.397,0.553,1.003,NA,"0.5","0","1","detected","ms"
"p.yr",-0.347,-0.461,-0.243,1.078,-0.5,"0.5","0","1","detected","ms"
"sigma.p.site",1.188,1.152,1.227,1.001,1.5,"0.5","0","1","detected","ms"
"per_chage_bci",18.2579085477999,13.8346397916092,23.4573880258365,NA,24.4918662403709,"0.5","0","1","detected","ms"
"mu.psi",0.054,-0.087,0.156,1.181,0,"1","-0.5","1","detected","ms"
"sigma.psi.sp",0.442,0.362,0.56,1.004,0.5,"1","-0.5","1","detected","ms"
